time [days],normalised_flux [arbitary unit],noisy_flux [arbitary unit],error [arbitary unit]
0,0.7179028075447079,0.7220071945373171,0.004104386992609188
1,0.7244090688240656,0.7285506533507767,0.004141584526711113
2,0.7303189054478365,0.7344942776353732,0.004175372187536691
3,0.735377226934218,0.7395815185084669,0.004204291574248864
4,0.7396739546174306,0.7439028114016611,0.004228856784230527
5,0.7425210903067491,0.7467662247076244,0.004245134400875318
6,0.7429126025370671,0.7471599752878816,0.004247372750814444
7,0.7403580305391876,0.7445907983156662,0.004232767776478655
8,0.7369548899584701,0.7411682013325128,0.004213311374042665
9,0.7340192870258292,0.7382158149991586,0.004196527973329405
10,0.7317955693024016,0.7359793838582553,0.004183814555853736
11,0.7294414685156876,0.7336118242292764,0.004170355713588827
12,0.7277609720179948,0.7319217200132494,0.004160747995254579
13,0.7279120908623122,0.732073702832763,0.004161611970450714
14,0.7277788925343741,0.7319397429846317,0.004160850450257617
15,0.7267897390593927,0.7309449343309635,0.004155195271570835
16,0.7255552712245477,0.7297034088085446,0.004148137583996856
17,0.724098601203403,0.728238410727634,0.0041398095242309975
18,0.7231411880579235,0.7272755238689728,0.004134335811049266
19,0.7236952623001258,0.7278327658590774,0.004137503558951539
20,0.725892144308594,0.730042207860131,0.004150063551537015
21,0.7291161978683841,0.733284693947772,0.004168496079387875
22,0.732513169155711,0.7367010863665103,0.004187917210799319
23,0.7358990358005026,0.7401063106553585,0.004207274854855792
24,0.7386846893755857,0.742907890342137,0.004223200966551314
25,0.7399310559389869,0.7441613826204081,0.004230326681421189
26,0.7388062300291569,0.7430301258667581,0.004223895837601194
27,0.7357149449377005,0.7399211673100548,0.004206222372354257
28,0.7317737099892246,0.7359573995712243,0.004183689581999717
29,0.7277354918593629,0.7318960941797008,0.00416060232033792
30,0.724418496979767,0.7285601354090387,0.004141638429271764
31,0.7225880202746139,0.7267191935201589,0.004131173245545015
32,0.7223505945234145,0.7264804103607496,0.00412981583733503
33,0.7229795507593318,0.7271129624591799,0.004133411699848018
34,0.7234472101485359,0.7275832955461238,0.004136085397587946
35,0.7234741804320385,0.7276104200238706,0.004136239591832114
36,0.7226660567689946,0.7267976761640311,0.004131619395036449
37,0.7205081953011738,0.7246274777914826,0.004119282490308821
38,0.7167068236157763,0.7208043729406265,0.004097549324850142
39,0.711097457675493,0.7151629371876052,0.004065479512112086
40,0.704142467524467,0.7081681840341091,0.00402571650964212
41,0.698353050087275,0.7023456673955012,0.003992617308226173
42,0.6939890327525247,0.6979567001430238,0.003967667390499107
43,0.6898681155886148,0.6938122229113339,0.003944107322719154
44,0.6857153427420787,0.6896357078720171,0.003920365129938382
45,0.6811018587866603,0.6849958477507191,0.003893988964058782
46,0.6758025565355406,0.6796662483799881,0.003863691844447579
47,0.6710205651226954,0.6748569174120564,0.0038363522893610385
48,0.6663866843554286,0.6701965438664544,0.003809859511025878
49,0.6608145248432096,0.6645925272577283,0.003778002414518742
50,0.6549437319349967,0.658688169909043,0.0037444379740463863
51,0.6489092886613507,0.6526192265746371,0.003709937913286493
52,0.6425960515218887,0.6462698954568202,0.0036738439349315592
53,0.6368013339630649,0.6404420483947764,0.0036407144317114463
54,0.6315610238264029,0.6351717784076497,0.0036107545812468496
55,0.6263233952668932,0.6299042053287625,0.0035808100618692296
56,0.6205406349040712,0.6240883838242857,0.00354774892021453
57,0.6144536374821821,0.6179665858795683,0.0035129483973862477
58,0.6087765240001286,0.6122570152591857,0.0034804912590571772
59,0.6039620232725779,0.6074149891146087,0.0034529658420308115
60,0.6000229430734966,0.6034533884442853,0.003430445370788684
61,0.5967774835437214,0.6001893740046546,0.0034118904609331193
62,0.594249374116388,0.5976468108945379,0.0033974367781498915
63,0.592028565145675,0.5954133051362421,0.0033847399905671286
64,0.5895383851774081,0.5929088883351288,0.003370503157720679
65,0.5867761757045308,0.5901308867849505,0.0033547110804196946
66,0.5836505470849862,0.5869873883516721,0.003336841266685909
67,0.5800354109092712,0.5833515837543545,0.0033161728450831823
68,0.5761214436837351,0.5794152396332257,0.003293795949490684
69,0.5718452333474603,0.5751145813885469,0.0032693480410866285
70,0.5668664431098266,0.5701073264594877,0.0032408833496611104
71,0.5606134889957226,0.5638186230165587,0.0032051340208361047
72,0.5536626522972172,0.556828047061662,0.003165394764444745
73,0.547086878679995,0.5502146784950716,0.0031277998150766313
74,0.5408044001332153,0.5438962818226658,0.0030918816894504927
75,0.5341929281273406,0.5372470107729405,0.0030540826455998085
76,0.5268263355184252,0.529838301951961,0.0030119664335358223
77,0.5199204425708384,0.5228929266999612,0.0029724841291228236
78,0.5135669764195879,0.5165031365734385,0.002936160153850515
79,0.5072119477819645,0.5101117750275108,0.0028998272455462164
80,0.5013335373084762,0.5041997565624795,0.0028662192540032934
81,0.4964776181718125,0.49931607521186117,0.0028384570400486653
82,0.49297007973808354,0.4957884835133,0.002818403775216465
83,0.4904534043211529,0.4932574197839999,0.002804015462847
84,0.4890774472246866,0.4918735960789206,0.0027961488542340047
85,0.48896186992338336,0.49175735800018744,0.0027954880768040736
86,0.4885558273425643,0.49134899399664983,0.0027931666540855038
87,0.4877042052155761,0.4904925029838683,0.0027882977682921984
88,0.48702246332940896,0.48980686344957874,0.0027844001201697854
89,0.4859494317320891,0.48872769712638175,0.00277826539429267
90,0.48409310825755564,0.48686076069722145,0.0027676524396658343
91,0.4813497700927484,0.4841017383459733,0.0027519682532249528
92,0.47793478296953473,0.48066722709138543,0.002732444121850703
93,0.4741277452706208,0.4768384238333351,0.002710678562714312
94,0.47022374555788404,0.4729121042111737,0.002688358653289653
95,0.46655206028014373,0.4692194272098511,0.0026673669297073857
96,0.4627580497067112,0.4654037255558381,0.0026456758491268874
97,0.4584593357825987,0.46108043506602664,0.002621099283427948
98,0.4548770455847569,0.45747766423328934,0.0026006186485324537
99,0.4524751380445602,0.4550620245305188,0.0025868864859585955
100,0.45080272256095955,0.4533800475292796,0.0025773249683200103
101,0.4484955581598334,0.4510596926301385,0.0025641344703051334
102,0.44612993578193516,0.4486805455388456,0.0025506097569104637
103,0.44540592498006304,0.4479523954294148,0.002546470449351721
104,0.4469136950344044,0.4494687856921379,0.0025550906577334787
105,0.45046264586254314,0.4530380265476499,0.0025753806851067386
106,0.45533543651484015,0.4579386758715676,0.002603239356727479
107,0.4603270843480656,0.4629588619055398,0.0026317775574742426
108,0.4644319926220812,0.4670872387214648,0.002655246099383621
109,0.46723428428321195,0.46990555161739583,0.002671267334183885
110,0.46996241532040284,0.4726492798989846,0.0026868645785817383
111,0.47269441273389173,0.4753968966616805,0.0027024839277887927
112,0.47495845539522163,0.4776738832858313,0.002715427890609688
113,0.47768666935247295,0.48041769496155023,0.0027310256090773088
114,0.48096038892206444,0.4837101310090238,0.0027497420869593715
115,0.4843758824718406,0.48714515158551125,0.002769269113670671
116,0.4882918097000877,0.4910834669150594,0.002791657214971724
117,0.49262953383275215,0.4954459906422101,0.0028164568094579544
118,0.49707439819626453,0.499916267141301,0.002841868945036455
119,0.5017279030673465,0.5045963769854548,0.0028684739181082768
120,0.5063524723364463,0.5092473857972825,0.002894913460836115
121,0.5107815011584389,0.5137017362200486,0.0029202350616096924
122,0.5160546989278244,0.5190050818647547,0.0029503829369302297
123,0.5220028946224765,0.5249872845263416,0.0029843899038651013
124,0.5277492847722486,0.5307665278823379,0.0030172431100892786
125,0.5332561778877594,0.5363049049539433,0.0030487270661839674
126,0.5391762302357967,0.5422588033680463,0.003082573132249584
127,0.5459133914151416,0.5490344821801696,0.0031210907650280196
128,0.5515030875439083,0.5546561356656181,0.0031530481217097862
129,0.5549435669461796,0.5581162849434751,0.0031727179972954765
130,0.5564582820495751,0.5596396599614197,0.0031813779118445612
131,0.5575828889060096,0.5607706964093042,0.003187807503294601
132,0.5582739116802762,0.561465669892297,0.0031917582120207532
133,0.5579607702079487,0.5611507381305704,0.0031899679226217426
134,0.5585187101054022,0.5617118678766131,0.0031931577712108546
135,0.5599733677220647,0.563174842047742,0.003201474325677258
136,0.5610700932257038,0.5642778377398303,0.0032077445141265744
137,0.5613448584594921,0.5645541738587576,0.003209315399265524
138,0.5617646546909976,0.5649763701452204,0.0032117154542228663
139,0.5638277936949727,0.5670513045075685,0.0032235108125957096
140,0.5675817573128562,0.5708267302499652,0.0032449729371090055
141,0.5730406538414086,0.5763168363289892,0.003276182487580633
142,0.5801722267116194,0.5834891817586854,0.003316955047066013
143,0.5881745686821205,0.5915372746413559,0.0033627059592354013
144,0.5958183333289327,0.5992247401455283,0.003406406816595523
145,0.6022649545274953,0.6057082179044992,0.0034432633770039613
146,0.6089974827434237,0.6124792372656724,0.00348175452224873
147,0.6159317094042596,0.6194531082201529,0.003521398815893265
148,0.6220832894727971,0.6256398580428019,0.0035565685700047604
149,0.6279247499423054,0.6315147152536474,0.003589965311342058
150,0.6338365636058415,0.6374603278811218,0.0036237642752802736
151,0.6398246083205729,0.6434826073872204,0.0036579990666475923
152,0.6452262634145784,0.6489151447715213,0.00368888135694288
153,0.6500281741658587,0.6537445089605373,0.0037163347946785968
154,0.6546972763711153,0.6584403053117939,0.0037430289406786103
155,0.6595536825980673,0.6633244765374885,0.003770793939421127
156,0.6645118754637543,0.6683110163355052,0.00379914087175083
157,0.6690742976701874,0.6728995227780801,0.0038252251078926547
158,0.6722296688404721,0.6760729338059221,0.0038432649654500635
159,0.6741183322305011,0.6779723950440303,0.0038540628135291985
160,0.6756915729318616,0.6795546302619229,0.003863057330061306
161,0.6778587770020772,0.6817342246503022,0.003875447648225048
162,0.6801931384835079,0.6840819321206325,0.003888793637124577
163,0.681677552514323,0.6855748328289974,0.0038972803146743716
164,0.6824323027916264,0.6863338981572913,0.003901595365664946
165,0.6824981675675809,0.6864001394947062,0.0039019719271254356
166,0.6821011708898278,0.6860008731113842,0.0038997022215564443
167,0.682768813083435,0.6866723323424878,0.0039035192590528294
168,0.6847707616862937,0.6886857264665496,0.003914964780255829
169,0.6874950269902089,0.6914255669137297,0.003930539923520761
170,0.6905476044397919,0.6944955965296036,0.003947992089811698
171,0.6932274602603807,0.6971907735959885,0.003963313335607784
172,0.6949453497141148,0.6989184845507037,0.0039731348365889
173,0.6963722163808598,0.7003535088857649,0.003981292504905041
174,0.697404757569421,0.7013919533088295,0.00398719573940855
175,0.6975343921108136,0.7015223289955692,0.003987936884755654
176,0.6971310035274817,0.7011166341629276,0.0039856306354458665
177,0.6961742466142611,0.7001544072883299,0.003980160674068863
178,0.6945589352162537,0.6985298608476102,0.003970925631356509
179,0.6931448250842901,0.6971076659788679,0.003962840894577725
180,0.6923561440957186,0.6963144759509712,0.003958331855252636
181,0.6921247555452745,0.696081764508143,0.003957008962868457
182,0.6919315757238877,0.6958874802409485,0.00395590451706075
183,0.6917478563605785,0.695702710519071,0.003954854158492525
184,0.6916482299044552,0.6956025144795357,0.003954284575080488
185,0.6906921131609731,0.6946409314346489,0.003948818273675728
186,0.688241642707832,0.6921764511755173,0.003934808467685354
187,0.6842958029725663,0.6882080523234546,0.003912249350888285
188,0.6801575389050318,0.6840461290125904,0.0038885901075585913
189,0.6764415757483934,0.6803089209873084,0.0038673452389150426
190,0.6732441250703309,0.6770931898751334,0.0038490648048024744
191,0.6709269312880783,0.6747627482549851,0.003835816966906757
