time [days],flux [fnu],noisy_flux [fnu],error [fnu],flux [mag],noisy_flux [mag],error [mag]
0.0,5.600883062524991e-27,5.67887408124981e-27,7.799101872481985e-29,17.029358736525914,17.064170666115487,0.034811929589572584
1.0,5.628962382531931e-27,5.60902980551034e-27,1.993257702159094e-29,17.02392913412911,17.01507644704976,0.008852687079348175
2.0,5.6545892128141814e-27,5.684933623287805e-27,3.034441047362356e-29,17.01899734912219,17.03241318240892,0.013415833286730357
3.0,5.6770547545492084e-27,5.705078001825284e-27,2.802324727607572e-29,17.014692292583405,17.027032867268552,0.012340574685148044
4.0,5.6966516233651485e-27,5.6122999335978555e-27,8.43516897672929e-29,17.010950847126388,16.973932746255816,0.03701810087057084
5.0,5.7113452372328224e-27,5.714247561522483e-27,2.9023242896607914e-30,17.008153967433678,17.009424388047872,0.0012704206141927184
6.0,5.718061731223364e-27,5.788647956313258e-27,7.058622508989386e-29,17.006877900958123,17.03773898134156,0.03086108038343621
7.0,5.715122734466577e-27,5.7086053531579655e-27,6.517381308611135e-30,17.007436096317313,17.00458515959582,0.0028509367214925776
8.0,5.7086706559348776e-27,5.752877319796092e-27,4.420666386121429e-29,17.00866252886267,17.028021967568094,0.019359438705426075
9.0,5.702689396891457e-27,5.7635124191154525e-27,6.082302222399548e-29,17.009800705216428,17.036464888547695,0.026664183331267424
10.0,5.698071230790388e-27,5.699108322910296e-27,1.0370921199080598e-30,17.01068031502028,17.011135333954716,0.00045501893443520674
11.0,5.6924086291493035e-27,5.736369172159565e-27,4.3960543010261563e-29,17.01175982917542,17.031066482067992,0.019306652892569665
12.0,5.688166903069495e-27,5.788513396084685e-27,1.0034649301519041e-28,17.012569172389362,17.056672349531123,0.044103177141761006
13.0,5.689035492078547e-27,5.66600437697708e-27,2.3031115101467428e-29,17.01240339199743,17.002282557308696,0.010120834688734195
14.0,5.688929012498604e-27,5.680467596508469e-27,8.461415990135331e-30,17.012423713511875,17.008705344038663,0.003718369473210845
15.0,5.686140252302658e-27,5.771947778036487e-27,8.580752573382929e-29,17.012956080902573,17.050682694179073,0.03772661327650188
16.0,5.6824796728313036e-27,5.569294161134635e-27,1.1318551169666878e-28,17.01365527285832,16.96385944506248,0.049795827795840554
17.0,5.6780476927013625e-27,5.637221943298117e-27,4.082574940324592e-29,17.014502409857368,16.99652715162921,0.01797525822815995
18.0,5.674932438872761e-27,5.683254858423859e-27,8.322419551097747e-30,17.01509826115182,17.018764568918805,0.003666307766983244
19.0,5.676274588351419e-27,5.644253191890578e-27,3.202139646084101e-29,17.01484150955095,17.00073833502934,0.01410317452161044
20.0,5.68257207119875e-27,5.600064838248533e-27,8.250723295021739e-29,17.013637618692723,16.97733925242633,0.036298366266392254
21.0,5.6921520421475586e-27,5.736952062784027e-27,4.480002063646871e-29,17.011808770158844,17.031484992923428,0.019676222764583064
22.0,5.70256674889229e-27,5.6385471551117794e-27,6.401959378051056e-29,17.00982405644528,16.981757925613515,0.0280661308317637
23.0,5.7131801740880465e-27,5.642054347561006e-27,7.112582652704009e-29,17.007805198916376,16.976681628348082,0.03112357056829272
24.0,5.722256051651537e-27,5.6664500959605575e-27,5.58059556909796e-29,17.006081782207985,16.981700683569944,0.02438109863804202
25.0,5.7269701043626674e-27,5.6619078236384856e-27,6.506228072418194e-29,17.005187709906654,16.976786007287927,0.028401702618728125
26.0,5.724619349228653e-27,5.675693524065993e-27,4.8925825162659754e-29,17.005633464621088,16.984267054831214,0.02136640978987193
27.0,5.7161750246746495e-27,5.759579676092622e-27,4.340465141797286e-29,17.00723620482571,17.026219463399237,0.018983258573526333
28.0,5.7048348199905876e-27,5.577002022346893e-27,1.2783279764369446e-28,17.00939231448828,16.953372814503922,0.05601949998435948
29.0,5.6927948628817e-27,5.695165586271654e-27,2.3707233899540858e-30,17.01168616374693,17.012727270728234,0.0010411069813053226
30.0,5.682484499898124e-27,5.685400414361064e-27,2.9159144629402616e-30,17.013654350563964,17.014937202485072,0.001282851921106225
31.0,5.676277433020992e-27,5.6967074088831594e-27,2.042997586216742e-29,17.014840965433518,17.023838929373458,0.008997963939940084
32.0,5.674654621796769e-27,5.66193390177594e-27,1.2720720020828966e-29,17.015151414813904,17.009547232326756,0.0056041824871454465
33.0,5.6756382200823296e-27,5.6221074100239816e-27,5.353081005834785e-29,17.014963238475712,16.99138403558143,0.0235792028942832
34.0,5.676271363712835e-27,5.6165424388354456e-27,5.972892487738892e-29,17.01484212634772,16.98853571803397,0.026306408313749283
35.0,5.675735706864442e-27,5.74584320230779e-27,7.010749544334796e-29,17.014944589644383,17.045824945541927,0.030880355897543555
36.0,5.6728392060321035e-27,5.706764748826681e-27,3.392554279457729e-29,17.015498815335842,17.030449681014577,0.014950865678734212
37.0,5.665974326686236e-27,5.6089378508879976e-27,5.70364757982385e-29,17.016813494148803,16.991647268311173,0.025166225837629442
38.0,5.6541484896270596e-27,5.648540107574825e-27,5.608382052234415e-30,17.019081975564756,17.016602211342732,0.002479764222023614
39.0,5.636769192849216e-27,5.587402088294701e-27,4.936710455451475e-29,17.022424369364355,17.000529245195914,0.021895124168442838
40.0,5.615036235415547e-27,5.639068587549205e-27,2.4032352133658224e-29,17.02661859192116,17.037318590605977,0.010699998684816895
41.0,5.596308838061745e-27,5.548183431448053e-27,4.812540661369245e-29,17.03024581632748,17.00874708921722,0.021498727110260973
42.0,5.581496199679244e-27,5.535716543756642e-27,4.5779655922602194e-29,17.033123416561146,17.012618316188046,0.020505100373101142
43.0,5.5672160429933724e-27,5.6361364061869786e-27,6.892036319360613e-29,17.035904812522418,17.066854017053625,0.030949204531206375
44.0,5.5527219434978595e-27,5.683412858614957e-27,1.3069091511709764e-28,17.038735183970314,17.09757610759613,0.05884092362581491
45.0,5.536837366965647e-27,5.5672886718888255e-27,3.0451304923178187e-29,17.04184558198533,17.05559499473893,0.0137494127535962
46.0,5.518881696471904e-27,5.536895089321008e-27,1.801339284910371e-29,17.045372288582136,17.053532181219722,0.008159892637587821
47.0,5.502352129705532e-27,5.431510532929165e-27,7.08415967763676e-29,17.04862904963569,17.016442088902153,0.032186960733535795
48.0,5.486283527355973e-27,5.4908397029189084e-27,4.5561755629358445e-30,17.05180438027916,17.053880546931968,0.0020761666528067778
49.0,5.467482697677084e-27,5.433600986438637e-27,3.388171123844715e-29,17.05553145662671,17.04003908421699,0.015492372409720723
50.0,5.447769115801189e-27,5.5014340016957066e-27,5.366488589451757e-29,17.059453266806774,17.08408026767345,0.024627000866677337
51.0,5.427552927753e-27,5.414597061099418e-27,1.2955866653582012e-29,17.063489831881466,17.057522194704067,0.005967637177398159
52.0,5.406477240882241e-27,5.465225729362164e-27,5.874848847992272e-29,17.067714052191803,17.094879841421285,0.027165789229483563
53.0,5.386805466050013e-27,5.4053219041442755e-27,1.8516438094262272e-29,17.07167176966792,17.080265192156887,0.008593422488969068
54.0,5.36870398065713e-27,5.429786306626852e-27,6.108232596972208e-29,17.075326353712374,17.103770055483693,0.028443701771319118
55.0,5.350632836804452e-27,5.380967335404726e-27,3.0334498600274356e-29,17.07898712378875,17.093160446611247,0.01417332282249765
56.0,5.331085011736055e-27,5.351492414393746e-27,2.0407402657691153e-29,17.08296097994088,17.092530984270564,0.009570004329684068
57.0,5.3107009666046394e-27,5.264093672806693e-27,4.660729379794632e-29,17.087120380047402,17.065180106018122,0.021940274029279595
58.0,5.291462089030579e-27,5.284881797140061e-27,6.580291890518171e-30,17.091060777632094,17.08795185812185,0.003108919510242448
59.0,5.2746675460321515e-27,5.295873822131568e-27,2.1206276099416557e-29,17.094512270158013,17.104563271436458,0.01005100127844498
60.0,5.260395758444169e-27,5.285085801185691e-27,2.4690042741522561e-29,17.097453952713135,17.10918788105013,0.011733928336993112
