taus,psis
0.0,4.845095388717447e-21
0.1,8.394034541072624e-21
0.2,1.2966151214202989e-20
0.30000000000000004,1.8066225809279255e-20
0.4,2.304676212525087e-20
0.5,2.729402796911961e-20
0.6000000000000001,3.052369345959799e-20
0.7000000000000001,3.271417863057915e-20
0.8,3.405966156865613e-20
0.9,3.48303044253024e-20
1.0,3.5243936459699733e-20
1.1,3.54021275709267e-20
1.2000000000000002,3.544147011448881e-20
1.3,3.5312430365596296e-20
1.4000000000000001,3.5035136444968026e-20
1.5,3.4625460108923107e-20
1.6,3.409658058286373e-20
1.7000000000000002,3.347318262558994e-20
1.8,3.281451039103338e-20
1.9000000000000001,3.2110060212765904e-20
2.0,3.139382912022543e-20
2.1,3.0625657856334603e-20
2.2,2.982689534004337e-20
2.3000000000000003,2.900526420314396e-20
2.4000000000000004,2.816459381718285e-20
2.5,2.733843371240761e-20
2.6,2.6536355148864987e-20
2.7,2.5750738483757472e-20
2.8000000000000003,2.4982898650850084e-20
2.9000000000000004,2.4216290247542372e-20
3.0,2.344357126500843e-20
3.1,2.2677234400971375e-20
3.2,2.1919185346882905e-20
3.3000000000000003,2.1159811527202696e-20
3.4000000000000004,2.0393638199291773e-20
3.5,1.961999648862869e-20
3.6,1.8853335307085363e-20
3.7,1.8103857906020292e-20
3.8000000000000003,1.739089225249709e-20
3.9000000000000004,1.6712979155035757e-20
4.0,1.6068435258667093e-20
4.1000000000000005,1.5445722282779853e-20
4.2,1.4841046163497737e-20
4.3,1.42395883179445e-20
4.4,1.364715171016161e-20
4.5,1.3068130860112902e-20
4.6000000000000005,1.2513144295616468e-20
4.7,1.1985702486168642e-20
4.800000000000001,1.1485121047133132e-20
4.9,1.1010133950272745e-20
5.0,1.0551235169801892e-20
5.1000000000000005,1.0105133572617706e-20
5.2,9.676251610932954e-21
5.300000000000001,9.263193954253627e-21
5.4,8.86709528961999e-21
5.5,8.48653320505636e-21
5.6000000000000005,8.113215173574001e-21
