time [days],normalised_flux [arbitary unit],noisy_flux [arbitary unit],error [arbitary unit]
0,0.7523949682687489,0.7548867751312006,0.002491806862451767
1,0.7584207627263346,0.7609325260167457,0.002511763290410989
2,0.7638907028717591,0.7664205816931962,0.0025298788214371086
3,0.7684610502466129,0.7710060652976006,0.0025450150509877313
4,0.772245232475486,0.774802780107956,0.002557547632469996
5,0.7743816434481396,0.7769462665180423,0.0025646230699027115
6,0.7736522826614438,0.7762144902098583,0.0025622075484144783
7,0.7694949520207454,0.7720433911822662,0.0025484391615208097
8,0.7645901758349055,0.7671223711943356,0.002532195359430017
9,0.7605699508980089,0.7630888319418084,0.0025188810437994794
10,0.7576836466507235,0.7601929687354206,0.00250932208469711
11,0.7548031501298254,0.7573029324896429,0.002499782359817559
12,0.7528668222777403,0.7553601918421069,0.0024933695643666745
13,0.7532809295941748,0.7557756706130254,0.0024947410188505574
14,0.7533163387456611,0.7558111970337258,0.002494858288064718
15,0.7522528430666122,0.7547441792340581,0.00249133616744589
16,0.7508870784342211,0.7533738914166019,0.0024868129823808474
17,0.749249288685936,0.7517306775813597,0.0024813888954236733
18,0.7482381811040294,0.7507162213794895,0.0024780402754600536
19,0.7491049445362019,0.7515858553878347,0.0024809108516328044
20,0.7519563057130964,0.7544466597982004,0.002490354085103999
21,0.7559816860963077,0.758485371571022,0.0025036854747143584
22,0.7600784649674576,0.7625957182916866,0.002517253324229046
23,0.7640390911055206,0.7665694613640816,0.002530370258560944
24,0.7671552797348183,0.7696959702912796,0.0025406905564611883
25,0.7682968356914847,0.7708413068912072,0.0025444711997225844
26,0.7665050091784933,0.7690435461471409,0.002538536968647557
27,0.7623686197333557,0.7648934576688626,0.0025248379355069135
28,0.7573607155474805,0.7598689681381312,0.0025082525906506364
29,0.7524260986078886,0.7549180085688404,0.0024919099609518507
30,0.7485627557083081,0.7510418709208164,0.002479115212508317
31,0.7466667421475747,0.7491395780788528,0.00247283593127813
32,0.7467826438143951,0.7492558635926962,0.0024732197783012134
33,0.7479339102508582,0.7504109428319131,0.0024770325810549187
34,0.7487907910580729,0.7512706614856921,0.002479870427619249
35,0.7490184287674261,0.7514990530932374,0.0024806243258113435
36,0.7481538311091772,0.7506315920314984,0.0024777609223212305
37,0.7456031949938009,0.7480725086339844,0.002469313640183584
38,0.7410634468872438,0.7435177256375586,0.002454278750314835
39,0.7343924520171968,0.7368246375432111,0.0024321855260142893
40,0.7262118279865286,0.728616920647813,0.0024050926612843963
41,0.7196772652699639,0.7220607165475244,0.0023834512775604676
42,0.715066180099426,0.7174343602306393,0.0023681801312133116
43,0.7108089942296786,0.7131630752701054,0.0023540810404267553
44,0.7065401106191608,0.7088800538278311,0.002339943208670421
45,0.7017036074793814,0.7040275329949223,0.002323925515540837
46,0.6960161604920403,0.698321250130109,0.0023050896380688002
47,0.691004344934283,0.6932928362736831,0.002288491339400086
48,0.6862060043858459,0.6884786044202649,0.002272600034419023
49,0.6802377511118565,0.6824905852851358,0.0022528341732793657
50,0.6739394435605223,0.6761714187878489,0.0022319752273266056
51,0.6674809449968618,0.6696915307522744,0.002210585755412546
52,0.6607124909655248,0.6629006607281214,0.0021881697625965885
53,0.6546381987439841,0.656806251462102,0.0021680527181179416
54,0.649283722486296,0.6514340420705594,0.002150319584263468
55,0.643924619578451,0.6460571907061651,0.0021325711277140036
56,0.6378842278544489,0.6399967942104877,0.0021125663560388305
