taus,psis
0.0,1.87763130402129e-21
0.1,3.3492835141076488e-21
0.2,5.299501199490544e-21
0.30000000000000004,7.538775059371376e-21
0.4,9.784986924721826e-21
0.5,1.1767406922839161e-20
0.6000000000000001,1.333453829905442e-20
0.7000000000000001,1.4470422748104928e-20
0.8,1.5257164704294382e-20
0.9,1.5803692945750236e-20
1.0,1.621064248368345e-20
1.1,1.6522791435131342e-20
1.2000000000000002,1.677032265173073e-20
1.3,1.6964517953022436e-20
1.4000000000000001,1.7101024014846806e-20
1.5,1.71851335116757e-20
1.6,1.7239364214188277e-20
1.7000000000000002,1.7279108866722905e-20
1.8,1.7299621058508564e-20
1.9000000000000001,1.729246911178757e-20
2.0,1.7260131722041368e-20
2.1,1.719301462244296e-20
2.2,1.709818796382823e-20
2.3000000000000003,1.6997730556956742e-20
2.4000000000000004,1.6894404747070854e-20
2.5,1.6794572974127582e-20
2.6,1.668308538362771e-20
2.7,1.6555329463156237e-20
2.8000000000000003,1.6398935528069482e-20
2.9000000000000004,1.6230673756240115e-20
3.0,1.60443727300672e-20
3.1,1.5852371472469782e-20
3.2,1.5651001862813014e-20
3.3000000000000003,1.5453627907384664e-20
3.4000000000000004,1.5265708063183162e-20
3.5,1.5082776126054867e-20
3.6,1.490345296186352e-20
3.7,1.4713046472517095e-20
3.8000000000000003,1.4494575424040155e-20
3.9000000000000004,1.425657026772094e-20
4.0,1.4007204349536622e-20
4.1000000000000005,1.3769306532925847e-20
4.2,1.3553355954947386e-20
4.3,1.335475382997099e-20
4.4,1.3163278188107489e-20
4.5,1.2964958054314358e-20
4.6000000000000005,1.2749310320069968e-20
4.7,1.2521292385909304e-20
4.800000000000001,1.2286287606685705e-20
4.9,1.2053216784895331e-20
5.0,1.1824916051417126e-20
5.1000000000000005,1.1603269459370748e-20
5.2,1.1386553849421522e-20
5.300000000000001,1.1173973588686361e-20
5.4,1.0960419128258319e-20
5.5,1.0745689947606306e-20
5.6000000000000005,1.0524253678685311e-20
5.7,1.0300738014205878e-20
5.800000000000001,1.0082385665466761e-20
5.9,9.873737342922844e-21
6.0,9.675471483534136e-21
6.1000000000000005,9.48607180488902e-21
6.2,9.299120560791163e-21
6.300000000000001,9.110865198058424e-21
6.4,8.920165462784175e-21
6.5,8.727888325587256e-21
6.6000000000000005,8.53674399023133e-21
6.7,8.347617347776015e-21
6.800000000000001,8.162255496803761e-21
6.9,7.981841176963561e-21
7.0,7.805528567089759e-21
7.1000000000000005,7.632271482509562e-21
7.2,7.46177512181172e-21
7.300000000000001,7.293492537747977e-21
7.4,7.127740053992365e-21
7.5,6.966794783650388e-21
7.6000000000000005,6.808881363786676e-21
7.7,6.654735499848324e-21
7.800000000000001,6.504649345358562e-21
7.9,6.3586212329522094e-21
8.0,6.2156606047245885e-21
8.1,6.0732858928888324e-21
8.200000000000001,5.9306167515053795e-21
8.3,5.789145404318311e-21
