time [days],normalised_flux [arbitary unit],noisy_flux [arbitary unit],error [arbitary unit]
0,0.9803704830101106,0.986173375441136,0.005802892431025343
1,0.9896930326062228,0.99555110596469,0.005858073358467218
2,0.9959144440760036,1.0018093424737329,0.005894898397729352
3,0.9987786064126861,1.0046904580196694,0.005911851606983197
4,0.9999374056332075,1.0058561162667958,0.005918710633588319
5,0.9963126723296106,1.0022099278726833,0.005897255543072592
6,0.9842430135542798,0.9900688278077928,0.005825814253512977
7,0.9645756705289831,0.9702850721834249,0.005709401654441797
8,0.9507029950804643,0.9563302832433707,0.005627288162906322
9,0.9459663303384492,0.9515655817984395,0.005599251459990349
10,0.9466425280507021,0.9522457819798145,0.005603253929112288
11,0.945212268087345,0.9508070561916905,0.005594788104345431
12,0.9467062850893921,0.9523099164015894,0.005603631312197204
13,0.9555536425080821,0.9612096420466684,0.005655999538586332
14,0.957810752981485,0.9634801125400935,0.00566935955860844
15,0.9537543020545681,0.9593996511510211,0.005645349096452992
16,0.9495264539498015,0.9551467780702971,0.0056203241204955895
17,0.9456076205016533,0.9512047487290158,0.00559712822736253
18,0.9456367203676733,0.9512340208395038,0.0055973004718305125
19,0.953026707083068,0.9586677494858515,0.005641042402783465
20,0.9653008045409723,0.9710144983224647,0.005713693781492311
21,0.9772387117176304,0.9830230669402802,0.0057843552226497525
22,0.9850340283521672,0.9908645246864477,0.0058304963342804385
23,0.9901769417452156,0.9960378794011384,0.005860937655922751
24,0.9911876183218278,0.9970545382544085,0.005866919932580683
25,0.9852712759921377,0.9911031766144481,0.005831900622310446
26,0.9710994848620739,0.9768475015028611,0.0057480166407872365
27,0.9542085471847532,0.9598565849949868,0.00564803781023361
28,0.9410084884822421,0.9465783940740324,0.0055699055917903285
29,0.9329529830160713,0.9384752074174262,0.005522224401354852
30,0.9312834606255799,0.9367958029884492,0.0055123423628692944
31,0.93653300529227,0.9420764201359418,0.005543414843671791
32,0.9460182915085199,0.9516178505308918,0.005599559022371852
33,0.9541474403695893,0.9597951164836261,0.005647676114036771
34,0.9566307561218487,0.9622931311833062,0.005662375061457532
35,0.9550378385879248,0.9606907850412582,0.005652946453333313
36,0.949483570062169,0.9551036403494543,0.005620070287285321
37,0.939246834940308,0.9448063131618524,0.005559478221544347
38,0.9246865951350093,0.930159890115805,0.005473294980795746
39,0.9064564159176413,0.9118218049885488,0.005365389070907587
40,0.8881994347218971,0.8934567592398319,0.0052573245179348485
41,0.882205597473922,0.8874274439828778,0.005221846508955753
42,0.8836218290410282,0.8888520583395352,0.005230229298507012
43,0.8826888311099071,0.8879135379179613,0.0052247068080541765
44,0.8788368758886392,0.8840387826612114,0.005201906772572169
45,0.8712996436455311,0.8764569369289251,0.005157293283393954
46,0.8608579455979943,0.8659534336234607,0.005095488025466295
47,0.8550905857852911,0.8601519363400928,0.005061350554801758
48,0.849866379433125,0.8548968074866637,0.005030428053538747
49,0.8393448512224169,0.8443130014968151,0.0049681502743982794
50,0.8290184422547628,0.8339254696766513,0.004907027421888394
51,0.8194113820286966,0.8242615444816407,0.004850162452944129
52,0.809569912690857,0.8143618226883056,0.004791909997448558
53,0.8035249516758609,0.8082810810586054,0.0047561293827445535
54,0.7996499285961226,0.8043831214028593,0.004733192806736654
55,0.7940567303373743,0.7987568165498149,0.004700086212440527
56,0.7846852062871437,0.7893298216883748,0.0046446154012311945
57,0.7746337639681344,0.7792188840667584,0.004585120098623981
58,0.7679298515238622,0.7724752906208084,0.004545439096946248
59,0.7654691492690499,0.7700000232697015,0.004530874000651616
60,0.7654299766170957,0.7699606187516421,0.004530642134546437
61,0.7659134428904647,0.7704469467011091,0.0045335038106444105
62,0.7671028062149405,0.7716433499636012,0.004540543748660648
63,0.7668633694584509,0.7714024959615232,0.004539126503072351
64,0.7632354147146209,0.7677530670592114,0.004517652344590515
65,0.757996274699417,0.7624829161491813,0.004486641449764344
66,0.7515566036338986,0.7560051281481452,0.004448524514246607
