time [days],flux [fnu],noisy_flux [fnu],error [fnu],flux [mag],noisy_flux [mag],error [mag]
0.0,4.653274228141623e-27,4.71165262545116e-27,5.837839730953722e-29,17.23060338185223,17.26196753236612,0.03136415051389083
1.0,4.679955839147791e-27,4.7258725606057444e-27,4.591672145795381e-29,17.224395612456203,17.24892400708007,0.024528394623866336
2.0,4.701168753411223e-27,4.821763316777059e-27,1.20594563365836e-28,17.219485397683535,17.283615494735642,0.06413009705210602
3.0,4.714304093180277e-27,4.7371921051562794e-27,2.288801197600203e-29,17.216456017548595,17.228593552338253,0.0121375347896585
4.0,4.722106437769107e-27,4.6450434189807386e-27,7.706301878836798e-29,17.21466057003077,17.173861500905605,0.0407990691251632
5.0,4.7169772423461606e-27,4.6234510156708116e-27,9.352622667534875e-29,17.215840547644863,17.16627160663126,0.049568941013604546
6.0,4.689221217014123e-27,4.722966028731992e-27,3.3744811717868164e-29,17.222248196643832,17.240238823528436,0.017990626884604136
7.0,4.638590765410273e-27,4.653929535287602e-27,1.5338769877329063e-29,17.23403485236543,17.242301786577276,0.008266934211845902
8.0,4.595995837254912e-27,4.578163964201526e-27,1.7831873053386244e-29,17.244050933346045,17.23435125471011,0.009699678635934553
9.0,4.5734643599646024e-27,4.647296896469242e-27,7.383253650463997e-29,17.24938675232578,17.289745947617078,0.04035919529129742
10.0,4.566301731372337e-27,4.485802829946987e-27,8.049890142535018e-29,17.251088486636732,17.20701622304085,0.04407226359588232
11.0,4.5581818921919904e-27,4.544542133826801e-27,1.3639758365189303e-29,17.25302087121122,17.2455399508093,0.0074809204019226075
12.0,4.5580066112458214e-27,4.545171021857431e-27,1.2835589388390304e-29,17.2530626230616,17.246022489905187,0.00704013315641177
13.0,4.577133455637531e-27,4.55464446272679e-27,2.2488992910740817e-29,17.248516061622382,17.236232722536517,0.012283339085864832
14.0,4.585039866040575e-27,4.589909682430745e-27,4.8698163901701696e-30,17.246642209676196,17.24929748451156,0.0026552748353611995
15.0,4.578134926863103e-27,4.6061093453707826e-27,2.797441850767912e-29,17.248278529847983,17.26355462969791,0.015276099849926738
16.0,4.568450416743988e-27,4.588927539187345e-27,2.047712244335693e-29,17.250577710754527,17.261783437300394,0.011205726545868544
17.0,4.557727364544534e-27,4.5946928445575255e-27,3.6965480012991504e-29,17.253129142829412,17.27340541050426,0.02027626767484674
18.0,4.5550778966245066e-27,4.552777922515405e-27,2.2999741091014208e-30,17.253760479337274,17.25249816606772,0.0012623132695523125
19.0,4.570428331559018e-27,4.5232713138968765e-27,4.7157017662141686e-29,17.25010774199417,17.22431310402965,0.02579463796452091
20.0,4.60054470843499e-27,4.627335288542935e-27,2.6790580107944855e-29,17.242976861088277,17.257535235044966,0.014558373956688735
