time [days],flux [fnu],noisy_flux [fnu],error [fnu],flux [mag],noisy_flux [mag],error [mag]
0.0,1.599410889687003e-27,1.610130079813828e-27,1.0719190126824942e-29,18.390099878470274,18.40685478209751,0.016754903627239023
1.0,1.6043805742276714e-27,1.5777981997600986e-27,2.658237446757293e-29,18.386731512694556,18.345309958958204,0.041421553736352965
2.0,1.6092305899285792e-27,1.5873215597748354e-27,2.1909030153743817e-29,18.38345430125288,18.34941780224077,0.03403649901210892
3.0,1.6131585365562362e-27,1.6081399341014235e-27,5.0186024548128196e-30,18.380807373269406,18.3730297706019,0.007777602667507358
4.0,1.6163699133575576e-27,1.6189534649215114e-27,2.5835515639539855e-30,18.378648104965333,18.382644021281585,0.0039959163162524135
5.0,1.618983549928768e-27,1.6139998109701946e-27,4.98373895857351e-30,18.376893909944005,18.36919812613139,0.0076957838126162316
6.0,1.6202921864548155e-27,1.623333508964018e-27,3.0413225092025574e-30,18.376016655737754,18.380709208313498,0.004692552575743982
7.0,1.619620405913289e-27,1.6456853356192404e-27,2.606492970595133e-29,18.376466900270728,18.41669998453354,0.040233084262811504
8.0,1.6158308193112406e-27,1.6359385783089596e-27,2.0107758997718872e-29,18.37901028168497,18.410120839110608,0.03111055742563746
9.0,1.6088297437336547e-27,1.6043723140793053e-27,4.45742965434939e-30,18.383724782961412,18.376798273690138,0.006926509271274586
10.0,1.6011652938408232e-27,1.6055706545774957e-27,4.405360736672537e-30,18.38890958010576,18.395787946682933,0.006878366577171275
11.0,1.5947304426382428e-27,1.5892013260808678e-27,5.529116557375057e-30,18.393281788050157,18.384613996288078,0.008667791762079807
12.0,1.5901148540867681e-27,1.5791154485457784e-27,1.0999405540989654e-29,18.396428763578374,18.379135349972557,0.017293413605815933
13.0,1.5872155693819574e-27,1.595561056438591e-27,8.34548705663347e-30,18.398410212673085,18.411555067123892,0.013144854450808943
14.0,1.5847624645704224e-27,1.5969492619281523e-27,1.2186797357729782e-29,18.400089559257744,18.41931451825031,0.01922495899256616
15.0,1.5822189105811169e-27,1.587530889768649e-27,5.311979187532099e-30,18.40183357282877,18.41022681593819,0.008393243109420802
16.0,1.5814384156222588e-27,1.5838492194086353e-27,2.4108037863765782e-30,18.40236928928874,18.406180382661965,0.0038110933732250075
17.0,1.5832165174456277e-27,1.6100026398746785e-27,2.678612242905084e-29,18.40114921963225,18.443446217758993,0.042296998126743514
18.0,1.5849968390088285e-27,1.589993756514945e-27,4.9969175061164224e-30,18.39992899891903,18.407810587990905,0.007881589071876674
19.0,1.5850505822297748e-27,1.5682366748579931e-27,1.6813907371781643e-29,18.39989218498346,18.373372672672176,0.026519512311286346
20.0,1.5840475358496346e-27,1.5945175167970148e-27,1.0469980947380172e-29,18.40057947440509,18.41710356965859,0.016524095253499436
21.0,1.5826806118458568e-27,1.5879685235485697e-27,5.287911702712884e-30,18.40151679450522,18.40986957216474,0.008352777659520437
22.0,1.5810276415686825e-27,1.5645599207209869e-27,1.646772084769559e-29,18.4026513427599,18.376611758734416,0.02603958402548303
23.0,1.5793282486992162e-27,1.593048324713046e-27,1.3720076013829687e-29,18.403818991345307,18.425537206075415,0.021718214730107512
24.0,1.578818473970529e-27,1.5923088186692315e-27,1.3490344698702544e-29,18.404169501269404,18.42553095751202,0.02136145624261672
25.0,1.5802739157940043e-27,1.5820995857966535e-27,1.8256700026491714e-30,18.403169070893515,18.40605728853794,0.002888217644426328
26.0,1.5836874317986519e-27,1.5890427881124223e-27,5.355356313770491e-30,18.400826324606466,18.4092802597174,0.008453935110933187
27.0,1.5886832300495348e-27,1.609243580676519e-27,2.0560350626984125e-29,18.397406721984538,18.42976111183094,0.0323543898463998
28.0,1.594083448643411e-27,1.590509746309521e-27,3.5737023338900866e-30,18.393722368678592,18.388117733712757,0.005604634965834695
29.0,1.599077920768116e-27,1.607958227105731e-27,8.880306337615052e-30,18.390325932981025,18.40420941267623,0.01388347969520679
30.0,1.6035932964463576e-27,1.6175439736265885e-27,1.3950677180230966e-29,18.387264419782962,18.40901350854996,0.021749088766999648
31.0,1.6075237493243746e-27,1.62702753982556e-27,1.9503790501185518e-29,18.38460650538053,18.414938546368077,0.030332040987548017
32.0,1.610016615186533e-27,1.6116737542062103e-27,1.6571390196773384e-30,18.38292410518964,18.385497275870065,0.002573170680423919
33.0,1.6104095792147017e-27,1.5858191551975179e-27,2.459042401718388e-29,18.382659136984238,18.34448496015592,0.03817417682831831
34.0,1.607997799681396e-27,1.6107264606954833e-27,2.7286610140871675e-30,18.384286374645036,18.388528701678425,0.00424232703338869
35.0,1.6027454823735136e-27,1.5966978295361024e-27,6.047652837411142e-30,18.38783859644908,18.378405325689744,0.009433270759333453
36.0,1.5960965310389066e-27,1.5935956091941385e-27,2.5009218447681392e-30,18.39235211574993,18.38843486858453,0.003917247165402142
