time [days],normalised_flux [arbitary unit],noisy_flux [arbitary unit],error [arbitary unit]
0,0.7088197810983988,0.710060693876905,0.0012409127785060947
1,0.7129025686801107,0.7141506290910858,0.0012480604109751283
2,0.7168739813258125,0.7181289943879864,0.0012550130621739074
3,0.7203071542732555,0.721568177704066,0.0012610234308104904
4,0.7232998552890615,0.724566117965491,0.0012662626764294643
5,0.7259056918922182,0.7271765165405703,0.0012708246483520667
6,0.727725352529446,0.7289993628114352,0.0012740102819891266
7,0.72835824111342,0.7296333593773703,0.001275118263950362
8,0.7271386709014855,0.7284116540948571,0.00127298319337159
9,0.7239050225884592,0.7251723447159014,0.0012673221274422351
10,0.7199285274784696,0.721188888056972,0.0012603605785023808
11,0.7162457610186097,0.7174996742714559,0.0012539132528461866
12,0.7132654037126321,0.7145140993296785,0.0012486956170463357
13,0.7110469768275829,0.7122917887010554,0.0012448118734725133
14,0.7090047566140425,0.7102459932244833,0.0012412366104408033
15,0.7068959214918642,0.7081334662182456,0.0012375447263813346
16,0.7057583635311167,0.7069939167636833,0.0012355532325666507
17,0.7061055745975434,0.7073417356837008,0.0012361610861574464
18,0.7066142576705956,0.7078513092952826,0.0012370516246869752
19,0.7063196235713284,0.7075561593875849,0.0012365358162565194
20,0.7055236873906956,0.7067588297817067,0.0012351423910111176
21,0.704558507516031,0.7057919601911623,0.001233452675131332
22,0.7034316499789925,0.7046631298932691,0.0012314799142765205
23,0.702240044224477,0.7034694380248396,0.0012293938003627293
24,0.7016699936119946,0.7028983894392359,0.0012283958272413691
25,0.7022059264325934,0.7034352605038049,0.0012293340712114674
26,0.7039026080276805,0.705134912436245,0.001232304408564549
27,0.7066115187871989,0.7078485656169923,0.0012370468297934118
28,0.7097396683858057,0.71098219158761,0.0012425232018043267
29,0.712845146539866,0.7140931064233593,0.0012479598834933918
30,0.7158490295296612,0.7171022482347713,0.0012532187051100766
31,0.7186539981249747,0.7199121274173257,0.0012581292923510802
32,0.7207553466576726,0.7220171547275012,0.0012618080698285922
33,0.7217242661747331,0.7229877705073383,0.00126350433260529
