time [days],flux [fnu],noisy_flux [fnu],error [fnu],flux [mag],noisy_flux [mag],error [mag]
0.0,8.192857608650398e-28,8.186863587653863e-28,5.994020996534669e-31,19.11641148271443,19.11458244415339,0.0018290385610406266
1.0,8.252306872713274e-28,8.25621341970642e-28,3.90654699314563e-31,19.108561576490295,19.109745047686108,0.0011834711958127891
2.0,8.294341594080854e-28,8.35316690594387e-28,5.882531186301649e-30,19.103045206560257,19.12077576154035,0.017730554980095223
3.0,8.308661741314863e-28,8.241220733027093e-28,6.744100828776981e-30,19.101172303706388,19.080879923781826,0.02029237992456085
4.0,8.313905569230974e-28,8.339200003916792e-28,2.529443468581903e-30,19.100487281482973,19.108093344143654,0.007606062660680043
5.0,8.316444403740554e-28,8.45181748005332e-28,1.3537307631276565e-29,19.10015577858967,19.140850175660333,0.040694397070663337
6.0,8.298382859474106e-28,8.31014273049797e-28,1.1759871023862483e-30,19.10251633039534,19.106059150491436,0.003542820096097537
7.0,8.250216585800815e-28,8.212571449383866e-28,3.7645136416950096e-30,19.108836625357466,19.097429307735727,0.011407317621739755
8.0,8.155086978350697e-28,8.11801438150257e-28,3.707259684812703e-30,19.121428506542003,19.11006363791873,0.011364868623272694
9.0,8.028270257580584e-28,7.970148302987484e-28,5.81219545931001e-30,19.138445040448804,19.120345888100818,0.01809915234798531
10.0,7.937892214971446e-28,7.94788006219297e-28,9.987847221524188e-31,19.150737006190216,19.15388262940827,0.0031456232180522613
11.0,7.903741822263213e-28,8.00828472988826e-28,1.0454290762504727e-29,19.155418136321096,19.188485672551394,0.033067536230299
12.0,7.9087232742163215e-28,7.966347502089383e-28,5.76242278730617e-30,19.154734050331513,19.172949451817654,0.01821540148614307
13.0,7.931245694646587e-28,8.007500788775013e-28,7.625509412842506e-30,19.151646490777903,19.175682782510705,0.024036291732802938
14.0,7.935527064783821e-28,7.903364001985945e-28,3.216306279787586e-30,19.151060557047416,19.14092793997759,0.010132617069825357
15.0,7.921535679593737e-28,7.910963308980326e-28,1.0572370613410849e-30,19.152976543336017,19.149639952098838,0.0033365912371782257
16.0,7.945443935608485e-28,7.853865224342048e-28,9.157871126643734e-30,19.14970458113241,19.12088973075759,0.02881485037482175
17.0,8.011267849034481e-28,8.084808721995625e-28,7.354087296114433e-30,19.140746869506255,19.163696068792486,0.02294919928623017
18.0,8.04189846033014e-28,8.0554153937543e-28,1.3516933424159897e-30,19.13660353686065,19.140805571209516,0.004202034348865987
19.0,8.016150233186366e-28,7.961052386339264e-28,5.5097846847101765e-30,19.140085380378554,19.12290199270357,0.017183387674983962
20.0,7.978987256593646e-28,7.928280490691559e-28,5.070676590208683e-30,19.14513057136775,19.129242976779796,0.015887594587954745
21.0,7.952228059821926e-28,7.995373348375953e-28,4.3145288554027255e-30,19.148777933542085,19.162341832939042,0.013563899396955112
22.0,7.93061033368918e-28,7.941446233761572e-28,1.0835900072392287e-30,19.151733471064905,19.155149317896505,0.003415846831599283
23.0,7.915188757096575e-28,7.962975029254754e-28,4.778627215817827e-30,19.153846809651565,19.16894002903794,0.015093219386377301
24.0,7.931373456250721e-28,7.920161277606813e-28,1.1212178643908365e-30,19.151629001182037,19.14809487852795,0.0035341226540883783
25.0,7.983437181143124e-28,7.98945919270063e-28,6.022011557505738e-31,19.14452521917507,19.14641100202175,0.0018857828466821683
26.0,8.056806641443937e-28,8.025694905114425e-28,3.111173632951226e-30,19.134592647598808,19.124938780466923,0.009653867131884037
27.0,8.136427413537395e-28,8.201179201368601e-28,6.475178783120556e-30,19.12391561405754,19.143811258835086,0.019895644777544342
28.0,8.196086883346893e-28,8.404333171260968e-28,2.0824628791407491e-29,19.115983616173036,19.179503650452197,0.06352003427916232
29.0,8.230167062616924e-28,8.297161579468674e-28,6.699451685175082e-30,19.11147837259014,19.13182866327745,0.020350290687309803
30.0,8.251946951347334e-28,8.168659158890606e-28,8.328779245672823e-30,19.10860893151309,19.083376161311165,0.025232770201924725
31.0,8.265569924142572e-28,8.44306198596925e-28,1.7749206182667671e-29,19.106817989418637,19.16050214654743,0.05368415712879255
32.0,8.253474867726133e-28,8.15075872290522e-28,1.0271614482091351e-29,19.108407917064216,19.07729491724684,0.031112999817376388
33.0,8.209585204713974e-28,8.324759134568869e-28,1.1517392985489392e-29,19.11419696342998,19.149269968637586,0.035073005207608005
34.0,8.128285556896507e-28,8.219991414627627e-28,9.170585773111936e-30,19.125002618701693,19.1532083999483,0.028205781246609503
35.0,8.021596437580586e-28,8.050341746866878e-28,2.8745309286292445e-30,19.13934797734583,19.14830670193076,0.00895872458492888
36.0,7.9288168478118875e-28,7.952014759364821e-28,2.319791155293341e-30,19.151979035111548,19.159293465498262,0.007314430386715052
37.0,7.864040604280936e-28,8.04446660012595e-28,1.8042599584501404e-29,19.160885631960138,19.218243549131493,0.05735791717135712
38.0,7.825685848613683e-28,7.852698142607776e-28,2.7012293994092617e-30,19.166193975598944,19.174823345125347,0.008629369526403181
39.0,7.810302961684933e-28,7.676125532050052e-28,1.3417742963488106e-29,19.168330298777907,19.125381443178732,0.04294885559917342
40.0,7.825293664915658e-28,7.821407271619827e-28,3.886393295830612e-31,19.16624838855625,19.165006775952865,0.001241612603388636
41.0,7.867919067674653e-28,7.7233984468027805e-28,1.44520620871873e-29,19.160350290108454,19.114429437457073,0.045920852651381475
42.0,7.926483290624761e-28,7.866629169711228e-28,5.985412091353296e-30,19.152298628877684,19.13342073602187,0.018877892855816293
43.0,7.987772066415398e-28,8.026588494105828e-28,3.88164276904298e-30,19.143935840884904,19.156084543729605,0.01214870284469982
44.0,8.0230578016489025e-28,7.802684844925597e-28,2.2037295672330544e-29,19.139150197342843,19.070481566824558,0.06866863051828391
45.0,8.026382256569825e-28,7.922731811381742e-28,1.0365044518808336e-29,19.13870040207181,19.106416104528154,0.03228429754365439
46.0,8.011330408798775e-28,8.028261511179175e-28,1.6931102380400427e-30,19.14073839105601,19.146021877542164,0.005283486486153768
47.0,7.985344437268788e-28,7.941946619880472e-28,4.339781738831588e-30,19.14426586600879,19.130679157968444,0.013586708040348212
48.0,7.941786268449233e-28,7.871381508451883e-28,7.040475999734992e-30,19.15020451242049,19.128041752803977,0.022162759616514347
49.0,7.879995004472892e-28,7.797459470848123e-28,8.253553362476814e-30,19.15868514457895,19.13249999675274,0.026185147826210172
50.0,7.801839142829361e-28,7.8386087834218065e-28,3.676964059244535e-30,19.169507520379,19.181289883460096,0.011782363081094854
51.0,7.7109697379238995e-28,7.712473925674831e-28,1.5041877509321038e-31,19.182227503204004,19.182715181084365,0.0004876778803625195
52.0,7.609305505972592e-28,7.601894106081734e-28,7.411399890858189e-31,19.196637447655505,19.194202468574616,0.0024349790808901465
53.0,7.511628731709983e-28,7.490479544410601e-28,2.114918729938251e-30,19.210664713913662,19.20362589848003,0.007038815433629668
54.0,7.474233766977623e-28,7.4918265126317885e-28,1.7592745654165866e-30,19.216083307786466,19.221967772402724,0.005884464616257211
55.0,7.49948685403814e-28,7.503513067261282e-28,4.026213223142095e-31,19.21242112954869,19.213763292453134,0.0013421629044439748
56.0,7.5249039160930774e-28,7.450558953955769e-28,7.434496213730796e-30,19.208747602782797,19.18404796443316,0.02469963834963749
57.0,7.523850906585057e-28,7.501503725870896e-28,2.2347180714161016e-30,19.208899547652933,19.201474101232073,0.007425446420862162
58.0,7.504827357902619e-28,7.487784656143534e-28,1.7042701759086002e-30,19.21164823469189,19.205970988252258,0.00567724643963327
59.0,7.474360349385597e-28,7.410727968246634e-28,6.363238113896303e-30,19.21606492009033,19.194781365991886,0.021283554098443253
60.0,7.42571779746917e-28,7.448202799976918e-28,2.248500250774855e-30,19.22315389865895,19.230723874761264,0.007569976102314271
61.0,7.365931764687749e-28,7.3122459619336e-28,5.368580275414961e-30,19.23193077152139,19.213709789957484,0.018220981563907217
62.0,7.331078271557153e-28,7.348086128746301e-28,1.700785718914728e-30,19.237080359117783,19.24288027577368,0.005799916655894174
63.0,7.3232242245413385e-28,7.376535471855482e-28,5.331124731414364e-30,19.23824417077209,19.25644354774033,0.018199376968237844
