time [days],flux [fnu],noisy_flux [fnu],error [fnu],flux [mag],noisy_flux [mag],error [mag]
0.0,1.1081887395716537e-27,1.1026077320002995e-27,5.58100757135416e-30,18.788465667669886,18.775875286239213,0.012590381430674384
1.0,1.1142875387453593e-27,1.109095359563165e-27,5.1921791821942234e-30,18.782506815596367,18.770857714709802,0.011649100886563799
2.0,1.1193745145397284e-27,1.1204130379381238e-27,1.0385233983953566e-30,18.777561462888833,18.779880890803497,0.0023194279146653237
3.0,1.1220834131692433e-27,1.1496087574123269e-27,2.7525344243083516e-29,18.77493714350042,18.836263565226368,0.06132642172594855
4.0,1.1235866041172712e-27,1.13065675904017e-27,7.070154922898811e-30,18.773483618212975,18.789214837544424,0.015731219331449244
5.0,1.1244703268816082e-27,1.1430667516508485e-27,1.8596424769240353e-29,18.772630001174715,18.813974855557873,0.041344854383156854
6.0,1.1233226495634648e-27,1.1266959554816127e-27,3.3733059181478265e-30,18.773738710861977,18.78124613964804,0.007507428786063223
7.0,1.1191295198728742e-27,1.122595459775727e-27,3.4659399028527464e-30,18.77779912123275,18.785541611805346,0.00774249057259801
8.0,1.110162752612102e-27,1.102785694516031e-27,7.377058096070954e-30,18.78653336974511,18.769920809832808,0.016612559912304464
9.0,1.097282349038049e-27,1.080248614204922e-27,1.7033734833127064e-29,18.799204017090073,18.76039510239264,0.03880891469743401
10.0,1.086421052338058e-27,1.0820411237644616e-27,4.379928573596268e-30,18.81000456838779,18.799925767530215,0.01007880085757345
11.0,1.0803827789996098e-27,1.063029707851404e-27,1.73530711482058e-29,18.816055867406043,18.775900953135118,0.04015491427092635
12.0,1.0785661977595238e-27,1.1085715527886685e-27,3.0005355029144673e-29,18.81788298653477,18.887432159991796,0.06954917345702559
13.0,1.07936333742027e-27,1.0679398970560793e-27,1.1423440364190695e-29,18.817080844096694,18.79062209761126,0.026458746485435718
14.0,1.0794688926465949e-27,1.0779621826656946e-27,1.506709980900317e-30,18.81697467083384,18.813485200245193,0.003489470588648069
15.0,1.0781771754149244e-27,1.076879443714246e-27,1.2977317006784326e-30,18.818274665631918,18.815265578326347,0.0030090873055697346
