time [days],flux [fnu],noisy_flux [fnu],error [fnu],flux [mag],noisy_flux [mag],error [mag]
0.0,2.461221639311046e-28,2.483033917559613e-28,2.1812278248566687e-30,20.42212318801489,20.444279134781507,0.02215594676661511
1.0,2.474111534606683e-28,2.4962185965639756e-28,2.2107061957292705e-30,20.41645181494794,20.438790199503437,0.02233838455549573
2.0,2.48537165525112e-28,2.507688978500338e-28,2.231732324921827e-30,20.41152164735086,20.433970325400747,0.02244867804988641
3.0,2.4917515785049767e-28,2.4715617399409754e-28,2.018983856400144e-30,20.408738144862003,20.388481472067884,0.020256672794118503
4.0,2.4936570832987676e-28,2.494716556261537e-28,1.0594729627692268e-31,20.4079081725231,20.408970340382773,0.0010621678596718768
5.0,2.4938098670449863e-28,2.478112589231038e-28,1.5697277813948128e-30,20.407841652645793,20.392105411060797,0.01573624158499747
6.0,2.4941278887221246e-28,2.467194763195371e-28,2.6933125526753666e-30,20.407703203584827,20.380706667392218,0.026996536192609746
7.0,2.4946538167759213e-28,2.4893666104902556e-28,5.2872062856658035e-31,20.407474282311075,20.40217574524542,0.005298537065654829
8.0,2.4929946684271025e-28,2.51090760565807e-28,1.79129372309676e-30,20.408196625717256,20.426159898420792,0.017963272703536662
9.0,2.4874005307470222e-28,2.5079872383205153e-28,2.058670757349302e-30,20.41063569335149,20.431326679100486,0.020690985748996332
10.0,2.4776434153957026e-28,2.4395049825058717e-28,3.813843288983098e-30,20.41490299375927,20.376420425350872,0.038482568408396166
11.0,2.46191584032868e-28,2.481599761788994e-28,1.9683921460314592e-30,20.421816993363056,20.441805411669108,0.019988418306052528
12.0,2.4389984540571302e-28,2.45491739309131e-28,1.5918939034180024e-30,20.431971187402095,20.448288273425355,0.0163170860232607
13.0,2.4116428134075843e-28,2.420837512872695e-28,9.194699465110621e-31,20.444217536990138,20.45374910963223,0.00953157264209326
14.0,2.388191978005504e-28,2.428461959105648e-28,4.026998110014422e-30,20.454826911991884,20.496982213440656,0.042155301448771776
15.0,2.374132829006637e-28,2.360307212873164e-28,1.3825616133473222e-30,20.461237466517126,20.446678870674724,0.014558595842400707
16.0,2.368822834894687e-28,2.381513477082378e-28,1.2690642187691082e-30,20.463668547754924,20.4770619535436,0.013393405788676553
17.0,2.369367130219264e-28,2.3250170386141574e-28,4.4350091605106414e-30,20.463419101807453,20.416623808837173,0.0467952929702817
18.0,2.373797229599737e-28,2.4169016236847784e-28,4.310439408504144e-30,20.46139095337243,20.50678698967616,0.045396036303730104
19.0,2.38004516761602e-28,2.3803204273251715e-28,2.752597091516757e-32,20.458537002463487,20.458826135326277,0.0002891328627886824
20.0,2.384076363536529e-28,2.4081319553503936e-28,2.405559181386435e-30,20.45669959492661,20.481924868938158,0.025225274011546745
21.0,2.383216222656173e-28,2.3820689362293793e-28,1.147286426793763e-31,20.457091383803945,20.455887877366,0.0012035064379461492
22.0,2.3790119172084377e-28,2.3775335992347795e-28,1.4783179736581354e-31,20.45900845610386,20.457454956137166,0.0015534999666929076
23.0,2.3786467081539337e-28,2.3918332817905634e-28,1.3186573636629698e-30,20.459175143428357,20.47303446687415,0.013859323445792198
24.0,2.387158925343689e-28,2.3859391962770174e-28,1.219729066671195e-31,20.455296667080695,20.454019281384124,0.0012773856965719048
25.0,2.402559247747843e-28,2.3927947774382336e-28,9.764470309609413e-31,20.448314734275822,20.438154245706432,0.010160488569389723
26.0,2.4149300527941516e-28,2.4014047609302266e-28,1.3525291863924861e-30,20.442738609616008,20.428736866741225,0.014001742874783955
