time [days],normalised_flux [arbitary unit],noisy_flux [arbitary unit],error [arbitary unit]
0,0.7716068773083085,0.7764697425195939,0.004862865211285451
1,0.7747715133840034,0.7796543229466567,0.004882809562653287
2,0.7780857662465506,0.7829894630840852,0.004903696837534643
3,0.7809561076942644,0.7858778941626474,0.0049217864683830485
4,0.7831408926323329,0.788076448177926,0.004935555545593112
5,0.7848003432769209,0.7897463571077454,0.004946013830824528
6,0.7861550381182631,0.7911095895847796,0.004954551466516491
7,0.7872691391769051,0.7922307119951478,0.004961572818242677
8,0.7878807427430611,0.7928461700444511,0.004965427301390019
9,0.7876828216342399,0.7926470015858421,0.004964179951602232
10,0.7864803612695205,0.7914369630062992,0.004956601736778718
11,0.7838963890811811,0.7888367059599173,0.004940316878736188
12,0.779550084939314,0.7844630102902778,0.004912925350963807
13,0.7735324249711427,0.7784074254795823,0.004875000508439532
14,0.7670048195693799,0.7718386814278738,0.004833861858493896
15,0.7611520599650053,0.7659490362255256,0.004796976260520204
16,0.7565382920851297,0.761306191192535,0.004767899107405317
17,0.7532353744813605,0.7579824577516038,0.00474708327024334
18,0.7511997758651006,0.7559340302687458,0.004734254403645258
19,0.7502483732555147,0.7549766316749508,0.004728258419436018
20,0.7497193995428814,0.7544443242337822,0.0047249246909008055
21,0.7489760085601223,0.7536962482096441,0.004720239649521893
22,0.7478743887306053,0.7525876856883206,0.004713296957715273
23,0.7472371913613275,0.7519464725371583,0.004709281175830859
24,0.7479818720009661,0.7526958463459256,0.004713974344959482
25,0.7502791826361072,0.7550076352241923,0.004728452588085197
26,0.7529353001272454,0.7576804922516471,0.004745192124401671
27,0.7546562171641606,0.7594122549508243,0.004756037786663672
28,0.7549341393321923,0.7596919286559173,0.004757789323724981
29,0.754219327327829,0.7589726117222554,0.004753284394426329
30,0.7530994090010319,0.7578456353818103,0.004746226380778419
31,0.7518777911314807,0.7566163185619075,0.0047385274304268515
32,0.750608184538431,0.7553387105812148,0.004730526042783837
33,0.7492627108104344,0.7539847573313568,0.004722046520922397
34,0.7479275864453745,0.7526412186687854,0.0047136322234109
35,0.7471057494934104,0.7518142022887464,0.004708452795336079
36,0.7473185225660656,0.7520283163120896,0.004709793746023977
37,0.7487599394306675,0.7534788173569029,0.004718877926235388
38,0.7512928553811055,0.7560276963958263,0.00473484101472089
39,0.7547483218802798,0.7595049401345793,0.004756618254299437
40,0.7589149743164263,0.7636978518871926,0.0047828775707663106
41,0.7632527082866633,0.7680629233737737,0.004810215087110463
42,0.7672542411853522,0.7720896749630901,0.00483543377773791
43,0.7706960444391695,0.7755531693471958,0.004857124908026254
44,0.7736406912682573,0.7785163740987773,0.004875682830519953
45,0.7762022309428362,0.7810940572559212,0.004891826313084924
46,0.7783913575526206,0.7832969803052486,0.004905622752628017
47,0.7799206061780597,0.7848358666492705,0.0049152604712108215
48,0.7804672972028208,0.7853860030616296,0.004918705858808852
49,0.7798715414422118,0.7847864926948244,0.004914951252612501
50,0.7779533867039661,0.7828562492515387,0.004902862547572681
51,0.7745317792462864,0.7794130779426779,0.004881298696391534
52,0.7696969415384919,0.7745477698427927,0.004850828304300859
53,0.7641421034810894,0.7689579237657133,0.004815820284623925
54,0.7585531063446751,0.763333703330311,0.004780596985635905
55,0.7533038619732993,0.7580513768693508,0.004747514896051445
56,0.7486163684601089,0.7533343415651217,0.004717973105012804
57,0.7446370693355638,0.7493299638729185,0.004692894537354682
58,0.7414565326995116,0.7461293826760731,0.004672849976561457
59,0.7392829654865353,0.7439421170828785,0.004659151596343223
60,0.7383371719570593,0.7429903629190603,0.004653190962001041
61,0.7386529250097505,0.7433081059287886,0.004655180919038031
62,0.7400427958328811,0.7447067360757054,0.004663940242824205
63,0.7423278660614117,0.7470062074051675,0.004678341343755846
64,0.745276829614711,0.749973756086068,0.004696926471356981
65,0.7482721931368256,0.752987997160334,0.004715804023508482
66,0.7507280215885846,0.7554593028753137,0.004731281286729106
67,0.7523868811338635,0.757128616980564,0.004741735846700482
68,0.7532983664981359,0.7580458467602879,0.00474748026215201
69,0.7535658627992206,0.7583150288919359,0.004749166092715406
70,0.7532388758914312,0.7579859812284624,0.004747105337031136
71,0.7522194365407389,0.7569601171085004,0.004740680567761594
72,0.750373101093197,0.7551021455795806,0.004729044486383555
73,0.7476642546207816,0.7523762272592321,0.004711972638450609
74,0.744112447236156,0.7488020354699625,0.004689588233806454
75,0.7397257594116886,0.7443877016093571,0.004661942197668484
76,0.7345446835056596,0.739173973228964,0.004629289723304403
77,0.7286286307207271,0.7332206359561375,0.004592005235410341
78,0.7220085459515938,0.7265588297082741,0.004550283756680291
79,0.7149423132844602,0.7194480638234848,0.00450575053902453
80,0.7085901647277302,0.7130558823910225,0.004465717663292271
81,0.7041229276678855,0.7085604916530189,0.004437563985133434
82,0.7018789716362402,0.7063023936326968,0.004423421996456496
83,0.7009716830790428,0.7053893871094065,0.004417704030363731
84,0.7004096303891235,0.7048237922187202,0.00441416182959661
85,0.6996814506172297,0.7040910232704148,0.004409572653185097
86,0.6986549212019703,0.7030580244024733,0.00440310320050313
87,0.6973216619362624,0.7017163625935904,0.004394700657327969
88,0.6956484027217905,0.7000325580687243,0.004384155346933765
89,0.6934473188291828,0.6978176023786984,0.0043702835495156005
90,0.6905151572128055,0.6948669615248526,0.0043518043120470504
91,0.6869052656821675,0.6912343195283269,0.004329053846159432
92,0.6832950195861511,0.6876013207318606,0.004306301145709509
93,0.6803854617844463,0.6846734261477472,0.004287964363300969
94,0.6783553816217908,0.6826305518972091,0.004275170275418373
95,0.6764819995821862,0.6807453633216396,0.004263363739453298
96,0.673959064756603,0.6782065283111895,0.004247463554586534
97,0.6705009466168604,0.6747266162205469,0.004225669603686391
98,0.6665353726325741,0.6707360501679702,0.004200677535396078
99,0.6625767714496757,0.6667525008611712,0.004175729411495443
100,0.6588430635250293,0.6629952621478423,0.004152198622812997
101,0.6551888083981889,0.6593179769643085,0.0041291685661195374
102,0.6514030184931922,0.6555083280365792,0.004105309543387047
103,0.6474596036463656,0.651540060774052,0.004080457127686458
104,0.643727538880359,0.6477844755749719,0.004056936694612836
105,0.6406090611624975,0.6446463444075983,0.004037283245100749
106,0.6382189040513859,0.6422411239109637,0.0040222198595776994
107,0.6362413260012003,0.6402510826547263,0.004009756653525938
108,0.6343228171344636,0.6383204828511407,0.003997665716677187
109,0.6322476642435942,0.6362322518124505,0.003984587568856228
