time [days],flux [fnu],noisy_flux [fnu],error [fnu],flux [mag],noisy_flux [mag],error [mag]
0.0,5.83422783673953e-28,5.9356221941944005e-28,1.0139435745487076e-29,19.485041537321504,19.528489599469662,0.04344806214815876
1.0,5.848236206298494e-28,5.9450346292239345e-28,9.679842292544078e-30,19.482437737090105,19.52381706049243,0.041379323402323344
2.0,5.862942918932303e-28,5.903978298539845e-28,4.103537960754162e-30,19.479710835113387,19.49720860891698,0.01749777380359288
3.0,5.875709694170996e-28,5.797736347148223e-28,7.79733470227732e-30,19.47734917470537,19.444173034680905,0.03317614002446664
4.0,5.885445864412966e-28,5.96136532274791e-28,7.591945833494452e-30,19.47555157669055,19.507800390155133,0.03224881346458404
5.0,5.8928517394115745e-28,5.938277888978461e-28,4.5426149566886846e-30,19.474186213385252,19.493457930872676,0.019271717487424362
6.0,5.898904444316004e-28,5.984280919196562e-28,8.537647488055856e-30,19.4730715971523,19.509254788322153,0.03618319116985553
7.0,5.903886847400405e-28,5.875131696723064e-28,2.875515067734125e-30,19.47215493674494,19.45997857250364,0.012176364241297534
8.0,5.906623806125303e-28,5.963020348851748e-28,5.6396542726444916e-30,19.471651721377047,19.495521763120674,0.023870041743627054
9.0,5.9057379597248515e-28,5.929512531458636e-28,2.377457173378434e-30,19.471814566967065,19.4818787502647,0.010064183297633138
10.0,5.900358896450439e-28,5.972445701787333e-28,7.208680533689313e-30,19.472803927671116,19.50334732621771,0.030543398546594935
11.0,5.888816374962507e-28,5.888872196334562e-28,5.582137205461263e-33,19.474929969092937,19.474953667137033,2.369804409760019e-05
12.0,5.8694524817731265e-28,5.9256205772820036e-28,5.616809550887686e-30,19.47850602253467,19.502429930123707,0.023923907589038364
13.0,5.84274733706764e-28,5.808990212943579e-28,3.375712412406138e-30,19.483457234630727,19.46901320591589,0.014444028714838887
14.0,5.81391652655496e-28,5.780204733704304e-28,3.371179285065566e-30,19.488828019785494,19.474331856701333,0.01449616308416093
15.0,5.788187325894325e-28,5.70421750394145e-28,8.396982195287529e-30,19.493643555110147,19.457375800964897,0.03626775414525014
16.0,5.767985115782216e-28,5.77602958988904e-28,8.044474106823999e-31,19.497439672447463,19.500926364050052,0.0034866916025896593
17.0,5.753566019702872e-28,5.8477950172644775e-28,9.42289975616054e-30,19.500157247996523,19.54110098499325,0.0409437369967259
18.0,5.744697443797477e-28,5.69678065595717e-28,4.791678784030651e-30,19.50183209844418,19.480979482484376,0.020852615959802222
19.0,5.740557118005812e-28,5.812648563681619e-28,7.209144567580695e-30,19.50261489377222,19.534010559817283,0.03139566604506258
20.0,5.738256414487783e-28,5.782748547910107e-28,4.44921334223241e-30,19.503050122924137,19.52243411790822,0.01938399498408247
21.0,5.735024688856998e-28,5.694558948291817e-28,4.0465740565180434e-30,19.503661770382685,19.486022029160733,0.01763974122195337
22.0,5.730238990321517e-28,5.624137369598567e-28,1.0610162072294969e-29,19.504568161480556,19.458277936543098,0.04629022493745782
23.0,5.727472676633003e-28,5.753107790838683e-28,2.563511420568032e-30,19.505092434925555,19.516281975082713,0.011189540157156357
24.0,5.7307057473447025e-28,5.769849344182533e-28,3.914359683783037e-30,19.504479726362728,19.521555981262033,0.01707625489930598
25.0,5.7406911478912695e-28,5.7999224860439835e-28,5.9231338152713574e-30,19.502589544420697,19.528384059674522,0.025794515253825773
26.0,5.752257813604312e-28,5.8489197778119615e-28,9.666196420764985e-30,19.500404143264728,19.542414588267313,0.04201044500258688
27.0,5.759764375355611e-28,5.786334857126561e-28,2.6570481770950256e-30,19.498988206622485,19.51052100555287,0.011532798930385836
28.0,5.760977577607225e-28,5.766506463751795e-28,5.528886144570075e-31,19.498759537736674,19.50115882070128,0.002399282964605138
29.0,5.757857754519911e-28,5.757232202212181e-28,6.255523077296917e-32,19.4993476709747,19.499076062880857,0.0002716080938429896
30.0,5.752973226855153e-28,5.762649276946086e-28,9.676050090932835e-31,19.500269117715717,19.50447392178371,0.004204804067992431
31.0,5.74764986133432e-28,5.650779284900669e-28,9.687057643365093e-30,19.501274240837407,19.45913937755819,0.042134863279216166
32.0,5.742122598272029e-28,5.708911939274445e-28,3.321065899758404e-30,19.50231884813559,19.48785962228783,0.014459225847763199
33.0,5.736270846942615e-28,5.764011684714538e-28,2.7740837771922336e-30,19.503425877418106,19.515515978509963,0.012090101091856556
34.0,5.730470002051642e-28,5.668420097304904e-28,6.204990474673758e-30,19.50452439144864,19.477454227603214,0.027070163845427278
35.0,5.726902204170116e-28,5.796878951782189e-28,6.997674761207283e-30,19.505200582705555,19.535747964657144,0.030547381951589108
36.0,5.7278256916511415e-28,5.703396113154777e-28,2.4429578496364465e-30,19.50502551721222,19.494362841787247,0.010662675424975367
37.0,5.734085718189062e-28,5.72139726373126e-28,1.2688454457801737e-30,19.503839547806635,19.49830751747024,0.005532030336393804
38.0,5.745102668731809e-28,5.805378428242639e-28,6.027575951082953e-30,19.501755514451734,19.52798470607214,0.026229191620406225
39.0,5.760166407991131e-28,5.73960069996088e-28,2.056570803025092e-30,19.49891242467619,19.489986593991105,0.008925830685082261
40.0,5.778383023846455e-28,5.796212640071506e-28,1.782961622505089e-30,19.495484185119444,19.503198114843155,0.007713929723709444
41.0,5.797408818373063e-28,5.812763025453243e-28,1.5354207080179833e-30,19.491915183046128,19.4985363337883,0.006621150742172738
42.0,5.815015541230949e-28,5.847440976411718e-28,3.2425435180768724e-30,19.48862280059256,19.50256319118604,0.01394039059348101
43.0,5.83020222605688e-28,5.882282694537168e-28,5.2080468480287834e-30,19.485790952666175,19.508123140496437,0.02233218783026298
44.0,5.843226725745099e-28,5.813745796280912e-28,2.9480929464187784e-30,19.483368155253906,19.47075486346844,0.012613291785468295
45.0,5.854580362006561e-28,5.81118830624837e-28,4.339205575819162e-30,19.48126057086257,19.46273146498515,0.018529105877419242
46.0,5.86430081495157e-28,5.814016010530003e-28,5.028480442156608e-30,19.479459400605776,19.45802257206973,0.02143682853604661
47.0,5.871100762718107e-28,5.883906321414753e-28,1.2805558696646589e-30,19.478201164957333,19.483653957889267,0.005452792931933125
48.0,5.873533588497362e-28,5.899632858431198e-28,2.6099269933836763e-30,19.477751358349963,19.488860203451722,0.011108845101758325
49.0,5.870882469375015e-28,5.8522470311142865e-28,1.8635438260728803e-30,19.478241534455595,19.470305999057835,0.007935535397761352
50.0,5.862354787588669e-28,5.8442622180535915e-28,1.809256953507773e-30,19.479819754393635,19.472104181816306,0.00771557257732931
51.0,5.847173838486111e-28,5.870773664327219e-28,2.3599825841107774e-30,19.482634985616738,19.49272525593065,0.010090270313913735
52.0,5.825789682479303e-28,5.812802634878108e-28,1.2987047601195372e-30,19.4866129948542,19.481039910212882,0.00557308464132043
53.0,5.801317539044792e-28,5.785287315304487e-28,1.6030223740305155e-30,19.49118340619797,19.48427539623626,0.006908009961709745
54.0,5.776798654276099e-28,5.775059958862224e-28,1.7386954138751227e-31,19.495781922959136,19.495029475315583,0.0007524476435525871
55.0,5.753864639915166e-28,5.799843680311912e-28,4.5979040396745124e-30,19.500100897837108,19.520078357889687,0.019977460052580862
