taus,psis
0.0,3.3134698507267675e-20
0.1,5.664461192555279e-20
0.2,8.561278927714875e-20
0.30000000000000004,1.1539711176460985e-19
0.4,1.4026156125198033e-19
0.5,1.556926018965636e-19
0.6000000000000001,1.6012399829968575e-19
0.7000000000000001,1.549713388811325e-19
0.8,1.4335886820122975e-19
0.9,1.2857186975873777e-19
1.0,1.1301651883861807e-19
1.1,9.785207773743936e-20
1.2000000000000002,8.409065826730406e-20
1.3,7.167952065795788e-20
1.4000000000000001,6.073044807549046e-20
1.5,5.116382703833423e-20
1.6,4.294426653642881e-20
1.7000000000000002,3.585192752591563e-20
1.8,2.9869933328698326e-20
1.9000000000000001,2.481936525888815e-20
2.0,2.0598542141126925e-20
2.1,1.7075832476140754e-20
2.2,1.414839916012535e-20
2.3000000000000003,1.1724383632432971e-20
2.4000000000000004,9.689353664760803e-21
2.5,7.995086191443589e-21
2.6,6.5815316500654986e-21
2.7,5.417839332932329e-21
2.8000000000000003,4.458624725720718e-21
2.9000000000000004,3.669602069680854e-21
3.0,3.016702790370794e-21
3.1,2.4786744796848287e-21
3.2,2.0383079406637096e-21
3.3000000000000003,1.677699655703413e-21
3.4000000000000004,1.3829178604100336e-21
3.5,1.1412165279574933e-21
3.6,9.40899763696366e-22
3.7,7.763647659690856e-22
3.8000000000000003,6.397727164825964e-22
3.9000000000000004,5.270203550209467e-22
4.0,4.347214132604946e-22
4.1000000000000005,3.5890207243691925e-22
4.2,2.9654193942201185e-22
4.3,2.450856155723766e-22
4.4,2.0249818693759608e-22
4.5,1.6703480773510883e-22
4.6000000000000005,1.3739009460954793e-22
4.7,1.1222149025312293e-22
4.800000000000001,9.03224063839436e-23
4.9,7.068031661794241e-23
5.0,5.297213152049504e-23
5.1000000000000005,3.724842062117346e-23
5.2,2.4115623588048717e-23
5.300000000000001,1.4137372666125593e-23
5.4,7.38214508347582e-24
5.5,3.3818832740124355e-24
5.6000000000000005,1.3249697020050484e-24
5.7,4.171330997294477e-25
5.800000000000001,7.699136155210845e-26
5.9,0.0
6.0,0.0
6.1000000000000005,0.0
6.2,0.0
6.300000000000001,0.0
6.4,0.0
6.5,0.0
6.6000000000000005,0.0
6.7,0.0
6.800000000000001,0.0
6.9,0.0
7.0,0.0
7.1000000000000005,0.0
7.2,0.0
7.300000000000001,0.0
7.4,0.0
7.5,0.0
7.6000000000000005,0.0
7.7,0.0
7.800000000000001,0.0
7.9,0.0
8.0,0.0
8.1,0.0
8.200000000000001,0.0
8.3,0.0
8.4,0.0
8.5,0.0
8.6,0.0
8.700000000000001,0.0
8.8,0.0
8.9,0.0
9.0,0.0
9.1,0.0
9.200000000000001,0.0
9.3,0.0
9.4,0.0
9.5,0.0
9.600000000000001,0.0
9.700000000000001,0.0
9.8,0.0
9.9,0.0
10.0,0.0
10.100000000000001,0.0
10.200000000000001,0.0
10.3,0.0
10.4,0.0
10.5,0.0
10.600000000000001,0.0
10.700000000000001,0.0
10.8,0.0
10.9,0.0
11.0,0.0
11.100000000000001,0.0
11.200000000000001,0.0
11.3,0.0
11.4,0.0
11.5,0.0
11.600000000000001,0.0
11.700000000000001,0.0
11.8,0.0
11.9,0.0
12.0,0.0
12.100000000000001,0.0
12.200000000000001,0.0
12.3,0.0
12.4,0.0
12.5,0.0
12.600000000000001,0.0
12.700000000000001,0.0
12.8,0.0
12.9,0.0
13.0,0.0
13.100000000000001,0.0
13.200000000000001,0.0
13.3,0.0
13.4,0.0
13.5,0.0
13.600000000000001,0.0
13.700000000000001,0.0
13.8,0.0
13.9,0.0
14.0,0.0
14.100000000000001,0.0
14.200000000000001,0.0
14.3,0.0
14.4,0.0
14.5,0.0
14.600000000000001,0.0
14.700000000000001,0.0
14.8,0.0
14.9,0.0
15.0,0.0
15.100000000000001,0.0
15.200000000000001,0.0
15.3,0.0
15.4,0.0
15.5,0.0
15.600000000000001,0.0
15.700000000000001,0.0
15.8,0.0
15.9,0.0
16.0,0.0
16.1,0.0
16.2,0.0
16.3,0.0
16.400000000000002,0.0
16.5,0.0
16.6,0.0
16.7,0.0
16.8,0.0
16.900000000000002,0.0
17.0,0.0
17.1,0.0
17.2,0.0
17.3,0.0
17.400000000000002,0.0
17.5,0.0
17.6,0.0
17.7,0.0
17.8,0.0
17.900000000000002,0.0
18.0,0.0
18.1,0.0
18.2,0.0
18.3,0.0
18.400000000000002,0.0
18.5,0.0
18.6,0.0
18.7,0.0
18.8,0.0
18.900000000000002,0.0
19.0,0.0
19.1,0.0
19.200000000000003,0.0
19.3,0.0
19.400000000000002,0.0
19.5,0.0
19.6,0.0
19.700000000000003,0.0
19.8,0.0
19.900000000000002,0.0
20.0,0.0
20.1,0.0
20.200000000000003,0.0
20.3,0.0
20.400000000000002,0.0
20.5,0.0
20.6,0.0
20.700000000000003,0.0
20.8,0.0
20.900000000000002,0.0
21.0,0.0
21.1,0.0
21.200000000000003,0.0
21.3,0.0
21.400000000000002,0.0
21.5,0.0
21.6,0.0
21.700000000000003,0.0
21.8,0.0
21.900000000000002,0.0
22.0,0.0
22.1,0.0
22.200000000000003,0.0
22.3,0.0
22.400000000000002,0.0
22.5,0.0
22.6,0.0
22.700000000000003,0.0
22.8,0.0
22.900000000000002,0.0
23.0,0.0
23.1,0.0
23.200000000000003,0.0
23.3,0.0
23.400000000000002,0.0
23.5,0.0
23.6,0.0
23.700000000000003,0.0
23.8,0.0
23.900000000000002,0.0
24.0,0.0
24.1,0.0
24.200000000000003,0.0
24.3,0.0
24.400000000000002,0.0
24.5,0.0
24.6,0.0
