time [days],flux [fnu],noisy_flux [fnu],error [fnu],flux [mag],noisy_flux [mag],error [mag]
0.0,5.37577705777137e-28,5.33679737540488e-28,3.8979682366490054e-30,19.57389687620037,19.555769412046075,0.018127464154293733
1.0,5.390415414265223e-28,5.361975827893993e-28,2.843958637123049e-30,19.570944411165257,19.557754524957243,0.013189886208012752
2.0,5.405530298053076e-28,5.396721219139363e-28,8.809078913712825e-31,19.567904235210513,19.563830130345682,0.004074104864829642
3.0,5.418144001838713e-28,5.353863950219487e-28,6.428005161922657e-30,19.565373641495928,19.535714014695028,0.02965962680089914
4.0,5.427198935015302e-28,5.434831621229219e-28,7.632686213916758e-31,19.56356064745357,19.56707658924293,0.0035159417893602784
5.0,5.433684778298185e-28,5.416277121404851e-28,1.740765689333353e-30,19.56226389925267,19.5542547592291,0.008009140023570506
6.0,5.438777121990594e-28,5.431670127920032e-28,7.106994070562178e-31,19.56124684490585,19.557980028712084,0.0032668161937664656
7.0,5.442808684720213e-28,5.496698059639151e-28,5.388937491893775e-30,19.560442327274814,19.585194885209756,0.02475255793494234
8.0,5.444409517324309e-28,5.54167627133836e-28,9.726675401405064e-30,19.560123038748333,19.604786630688167,0.04466359193983493
9.0,5.442084509746187e-28,5.437229194362408e-28,4.855315383778986e-31,19.560586795938853,19.558356347580744,0.002230448358107835
10.0,5.434975212541883e-28,5.403032399979194e-28,3.19428125626895e-30,19.56200608068332,19.547312907617428,0.014693173065894335
11.0,5.42122630520617e-28,5.409774303033302e-28,1.1452002172867424e-30,19.564756157572884,19.5594750636247,0.00528109394818554
12.0,5.3990876270713964e-28,5.373304219524502e-28,2.578340754689393e-30,19.56919905970458,19.557260279799614,0.01193877990496679
13.0,5.3694310509667165e-28,5.399643437617053e-28,3.0212386650336186e-30,19.57517932509756,19.589246172387135,0.014066847289573038
14.0,5.3384746901945515e-28,5.36463059175182e-28,2.6155901557268308e-30,19.58145702983404,19.593705800819745,0.012248770985704113
15.0,5.312014176979064e-28,5.204934810136694e-28,1.070793668423703e-29,19.586851936427095,19.53645703758325,0.05039489884384411
16.0,5.292379765236743e-28,5.313855670415918e-28,2.147590517917515e-30,19.590872499255003,19.60101722909858,0.010144729843576556
17.0,5.279448150583124e-28,5.254318081091688e-28,2.5130069491436315e-30,19.593528677416405,19.581628726524443,0.011899950891960488
18.0,5.2727084506721845e-28,5.312048610546527e-28,3.9340159874342796e-30,19.59491560474778,19.613568333341814,0.018652728594033854
19.0,5.270962668307118e-28,5.261593368458463e-28,9.369299848654523e-31,19.595275149182594,19.590831321537507,0.004443827645085406
20.0,5.270705493394095e-28,5.360483075455082e-28,8.9777582060987e-30,19.595328124501073,19.637911409686286,0.042583285185212615
21.0,5.268795507264893e-28,5.177936654025235e-28,9.085885323965834e-30,19.595721642394125,19.552609866128385,0.043111776265741086
22.0,5.264743638253752e-28,5.202990489427215e-28,6.1753148826536694e-30,19.59655692881372,19.567233018159342,0.029323910654374914
23.0,5.262923668660831e-28,5.301832042292021e-28,3.890837363118977e-30,19.596932321926104,19.615414621917875,0.01848229999176966
24.0,5.267827433099647e-28,5.161274816097532e-28,1.0655261700211584e-29,19.59592115094235,19.545353522088085,0.05056762885426331
25.0,5.2799829482023975e-28,5.195632498904747e-28,8.435044929765083e-30,19.59341870006393,19.553479911375998,0.0399387886879296
26.0,5.293154074862291e-28,5.332953302581364e-28,3.979922771907308e-30,19.59071366059683,19.609511161650165,0.018797501053333932
27.0,5.301030429286471e-28,5.307216035652736e-28,6.185606366265119e-31,19.589099257009263,19.592016428702944,0.002917171693682257
28.0,5.301491072710437e-28,5.365471954953697e-28,6.398088224326061e-30,19.58900491393377,19.619176087178126,0.03017117324435566
29.0,5.2971979343522045e-28,5.342850276259233e-28,4.565234190702867e-30,19.589884497436863,19.611430011911118,0.021545514474253596
30.0,5.2911836908899485e-28,5.300211619948204e-28,9.027929058254912e-31,19.59111790265488,19.5953834553108,0.004265552655920202
31.0,5.284949865096883e-28,5.353755136974039e-28,6.880527187715629e-30,19.59239782052007,19.624945561574133,0.032547741054065306
32.0,5.278730414711659e-28,5.345043790032473e-28,6.6313375320814e-30,19.593676292237944,19.625082222315374,0.03140593007742954
33.0,5.2723939387897465e-28,5.171293493116396e-28,1.0110044567335055e-29,19.594980369778035,19.547041783034004,0.04793858674403116
34.0,5.266362854230431e-28,5.237212784040115e-28,2.9150070190315813e-30,19.59622305289588,19.58238519601193,0.013837856883949694
35.0,5.263106870615924e-28,5.18996538403978e-28,7.314148657614401e-30,19.59689452819281,19.562151985254676,0.03474254293813366
36.0,5.265034037041138e-28,5.362803686801699e-28,9.776964976056123e-30,19.5964970421785,19.642921077176524,0.04642403499802736
37.0,5.272838916520916e-28,5.295245019082427e-28,2.2406102561510708e-30,19.594888740045445,19.6055120982194,0.01062335817395619
38.0,5.285660764495459e-28,5.199660626660099e-28,8.600013783536e-30,19.592251783693403,19.551575630953412,0.040676152739991964
39.0,5.30260938234629e-28,5.3545282373271535e-28,5.191885498086389e-30,19.5887759102065,19.613253884745657,0.02447797453915553
40.0,5.322574782067855e-28,5.414211192862507e-28,9.163641079465252e-30,19.58469557004525,19.627736961921688,0.043041391876438406
41.0,5.342820020891048e-28,5.235635936092561e-28,1.0718408479848753e-29,19.580573638214066,19.530420308895753,0.05015332931831191
42.0,5.360884995729417e-28,5.431530219039726e-28,7.064522331030958e-30,19.576908773419582,19.609853531312442,0.032944757892860464
43.0,5.375842638637527e-28,5.459139692348322e-28,8.329705371079493e-30,19.573883631029368,19.61262037395043,0.03873674292106234
44.0,5.388219318225005e-28,5.39170470278874e-28,3.4853845637354293e-31,19.571386838443345,19.57300397035553,0.001617131912182256
45.0,5.39870012908618e-28,5.428200822407827e-28,2.9500693321646755e-30,19.56927698688772,19.582938003714116,0.013661016826396801
46.0,5.407398922964183e-28,5.360847430775186e-28,4.655149218899654e-30,19.567528974502185,19.546006846741598,0.0215221277605862
47.0,5.412862253614164e-28,5.38179207889961e-28,3.1070174714554485e-30,19.566432561709078,19.552082402191438,0.014350159517641962
48.0,5.413544405925774e-28,5.389908709585678e-28,2.363569634009582e-30,19.56629574115798,19.555380666593233,0.010915074564745287
49.0,5.408808405101566e-28,5.378853925740835e-28,2.9954479360730397e-30,19.567246005481937,19.553400775110827,0.013845230371109768
50.0,5.397851566484997e-28,5.5022654201846e-28,1.0441385369960299e-29,19.56944765529481,19.61780664239067,0.04835898709585849
51.0,5.379906799252332e-28,5.340750103476259e-28,3.915669577607236e-30,19.5730631198122,19.55486731399382,0.01819580581838059
52.0,5.355711817767404e-28,5.358080423135725e-28,2.368605368319727e-31,19.577956999295964,19.579062643815735,0.0011056445197732416
53.0,5.328975989092874e-28,5.369741296405581e-28,4.076530731270712e-30,19.583390591416844,19.602514953862904,0.019124362446060864
54.0,5.3030756916621395e-28,5.368232161800807e-28,6.515647013866776e-30,19.58868043520349,19.619396793939,0.03071635873551232
55.0,5.27963839687404e-28,5.278546541253492e-28,1.0918556205482013e-31,19.593489553334045,19.592972540833152,0.0005170125008914747
56.0,5.259493298606754e-28,5.271697114033002e-28,1.2203815426248507e-30,19.59764023477674,19.603441086081887,0.00580085130514441
57.0,5.243135945807136e-28,5.245174862293062e-28,2.038916485926226e-31,19.601022204014154,19.601994387697257,0.000972183683105108
58.0,5.230771779876005e-28,5.210461074153996e-28,2.03107057220092e-30,19.60358556989064,19.593878252033576,0.009707317857065188
59.0,5.223244121613784e-28,5.298597313744637e-28,7.535319213085302e-30,19.605149189575535,19.641215468681196,0.03606627910566228
60.0,5.221450674076392e-28,5.195038258440305e-28,2.6412415636086563e-30,19.605522050818465,19.59287594091302,0.012646109905442411
61.0,5.225334991688303e-28,5.24678187295958e-28,2.144688127127707e-30,19.604714655205836,19.614975663019397,0.010261007813562012
62.0,5.233855036969533e-28,5.2753895821200915e-28,4.153454515055836e-30,19.60294577565612,19.62278514112248,0.019839365466361565
63.0,5.246113462444517e-28,5.274313886279803e-28,2.8200423835285664e-30,19.60040580191054,19.613844523755372,0.013438721844830815
64.0,5.260950674965408e-28,5.283879037390025e-28,2.292836242461735e-30,19.59733942498379,19.608234966417832,0.010895541434043244
65.0,5.275320325996339e-28,5.250119734942295e-28,2.5200591054043557e-30,19.594377910412693,19.582435227553294,0.011942682859397724
66.0,5.286457104139435e-28,5.233476753803864e-28,5.2980350335569916e-30,19.592088218588444,19.567033465806052,0.02505475278239036
67.0,5.293340979728193e-28,5.302451264274436e-28,9.110284546243342e-31,19.59067532319077,19.594978033228312,0.004302710037541897
68.0,5.296474530502836e-28,5.240786101415948e-28,5.568842908688805e-30,19.5900327794899,19.563747167822093,0.026285611667805523
69.0,5.296516300218278e-28,5.403093139326862e-28,1.0657683910858381e-29,19.59002421705592,19.64032937664931,0.05030515959338764
