time [days],normalised_flux [arbitary unit],noisy_flux [arbitary unit],error [arbitary unit]
0,0.9850259679790062,1.005893256849029,0.02086728887002298
1,0.9921684223736498,1.013187020614125,0.021018598240475198
2,0.9976542553659633,1.0187890682702794,0.02113481290431617
3,0.9998867722992038,1.0210688799726606,0.021182107673456855
4,0.9997412359936739,1.0209202605523426,0.021179024558668724
5,0.9991380249210051,1.0203042707508767,0.021166245829871554
6,0.9990957337113154,1.020261083622787,0.021165349911471485
7,0.9993233032543812,1.0204934741142822,0.02117017085990081
8,0.9981216315705,1.0192663456089874,0.021144714038487337
9,0.9945658243440835,1.0156352103618163,0.021069386017732727
10,0.9887819117522573,1.0097287684369813,0.020946856684724145
11,0.979629670036196,1.0003826409982024,0.020752970962006432
12,0.9664852015305176,0.9869597134160455,0.020474511885527798
13,0.9513773251469505,0.9715317841293499,0.020154458982399443
14,0.9396976850975177,0.9596047166711662,0.019907031573648534
15,0.9342956211777592,0.954088212694016,0.019792591516256737
16,0.933758897938236,0.9535401192376187,0.01978122129938279
17,0.9358719802188042,0.9556979661231703,0.019825985904365965
18,0.9394735811013858,0.9593758651425061,0.019902284041120225
19,0.9434219443229166,0.9634078724897612,0.019985928166844646
20,0.9453195968847827,0.9653457258843675,0.02002612899958477
21,0.9439257156797648,0.9639223159941157,0.019996600314350937
22,0.9408665297497105,0.9607983227203114,0.01993179297060087
23,0.9410798035322232,0.9610161146026233,0.019936311070400035
24,0.9471933715072958,0.9672591954972629,0.020065823989967122
25,0.9568206857989789,0.977090459689657,0.020269773890678102
26,0.963107028587763,0.9835099755471457,0.020402946959382766
27,0.9624028454739119,0.9827908746616503,0.020388029187738355
28,0.9566496658705058,0.9769158167884238,0.020266150917918002
29,0.9504674414341268,0.9706026249792374,0.02013518354511064
30,0.9463143147435331,0.9663615163499094,0.020047201606376346
31,0.9439599361940384,0.9639572614530911,0.01999732525905274
32,0.9422035896950158,0.9621637076205135,0.019960117925497716
33,0.940377224274273,0.9602986515499241,0.019921427275651136
34,0.9388285095334019,0.9587171280517963,0.019888618518394387
35,0.9397265789157636,0.9596342225906882,0.01990764367492454
36,0.9442485391122885,0.9642519782816944,0.020003439169405998
37,0.9514369839850078,0.9715927068104406,0.02015572282543289
38,0.9598154556256572,0.9801486722367345,0.020333216611077384
39,0.9686166426963118,0.9891363081107433,0.020519665414431544
40,0.9771985849053928,0.9979000545290171,0.020701469623624288
41,0.9838635166148582,1.00470617952658,0.020842662911721797
42,0.9877229730111371,1.0086473966013796,0.020924423590242436
43,0.9895690779250084,1.0105326103365149,0.020963532411506464
44,0.9907450535520755,1.0117334984267168,0.02098844487464129
45,0.9919509631289671,1.0129649546026933,0.021013991473726134
46,0.9929771134162457,1.014012843377245,0.02103572996099935
47,0.9922188875712222,1.0132385548919958,0.02101966732077344
48,0.9888018303400851,1.0097491089902595,0.020947278650174397
49,0.9831226055607687,1.003949572637563,0.02082696707679432
50,0.9748818172428144,0.9955342072871877,0.02065239004437325
51,0.9639010504358977,0.9843208183561615,0.020419767920263752
52,0.951471075039404,0.971627520066995,0.0201564450275911
53,0.9405854462490355,0.9605112846044325,0.019925838355396953
54,0.9328155101994511,0.9525767462952944,0.019761236095843387
55,0.9275990565451312,0.947249784645429,0.01965072810029773
56,0.9243155846711677,0.9438967540407133,0.019581169369545515
57,0.9226425035808903,0.9421882295534608,0.019545725972570486
58,0.9222812876678094,0.9418193614595768,0.0195380737917674
59,0.9239855837288248,0.9435597621913129,0.019574178462488132
60,0.9281883621922603,0.9478515744417796,0.019663212249519307
61,0.9341586723289516,0.9539483626514516,0.01978969032250004
62,0.9409262648354633,0.9608593232643674,0.019933058428904107
63,0.9479955756034337,0.9680783938911666,0.02008281828773287
64,0.95474490954152,0.9749707091368983,0.020225799595378253
65,0.9591661794272781,0.9794856414426104,0.020319462015332253
66,0.9601970644735888,0.980538365279727,0.020341300806138232
67,0.9587481496118572,0.9790587558719116,0.020310606260054483
68,0.9562220749798729,0.9764791675958546,0.02025709261598173
69,0.9533465823286909,0.9735427590523545,0.020196176723663726
70,0.9501801454199995,0.9703092427408756,0.02012909732087607
